,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
346,Doug Wright,Doug Wright,"playwright , librettist , screenwriter",united states,1962,1962,28,"Doug Wright was a united states playwright , librettist , screenwriter. When was Doug Wright born."
347,"Isobel , Lady Barnett",Isobel Barnett,medical peace practitioner radio and television personality justice of the,british,1918,1918,5,"Isobel , Lady Barnett was a british medical peace practitioner radio and television personality justice of the. When was Isobel , Lady Barnett born."
348,Raša Papeš,Raša Papeš,"satirist writer , short-story writer , aphorist , black humor",serbian 20px,1947,1947,7,"Raša Papeš was a serbian 20px satirist writer , short-story writer , aphorist , black humor. When was Raša Papeš born."
349,Steven Isserlis,Steven Isserlis,cellist,british,1958,1958,28,Steven Isserlis was a british cellist. When was Steven Isserlis born.
350,Shruti,Shruti (actress),"actress , politician",indian,1976,1975,23,"Shruti was a indian actress , politician. When was Shruti born."
351,Rex Ingamells,Rex Ingamells,poet,australian,1913,1913,5,Rex Ingamells was a australian poet. When was Rex Ingamells born.
352,Timothy Oliver Stoen,Timothy Stoen,lawyer,american,1938,1938,126,Timothy Oliver Stoen was a american lawyer. When was Timothy Oliver Stoen born.
353,Alan Civil,Alan Civil,musician,united kingdom,1929,1929,2,Alan Civil was a united kingdom musician. When was Alan Civil born.
354,Wayne Caldwell,Wayne Caldwell,novelist,american 25px,1948,1948,2,Wayne Caldwell was a american 25px novelist. When was Wayne Caldwell born.
355,Irving Kahn,Irving Kahn,"businessman , investor",american,1905,1905,9,"Irving Kahn was a american businessman , investor. When was Irving Kahn born."
356,Kimiko Hahn,Kimiko Hahn,poet,usa,1955,1955,22,Kimiko Hahn was a usa poet. When was Kimiko Hahn born.
357,Sofia Boutella,Sofia Boutella,"dancer , model , actress",algerian & french,1982,1982,71,"Sofia Boutella was a algerian & french dancer , model , actress. When was Sofia Boutella born."
358,Nancy Cato,Nancy Cato,writer and poet,australian,1917,1917,15,Nancy Cato was a australian writer and poet. When was Nancy Cato born.
359,Howard Higman,Howard Higman,sociology professor,american,1915,1915,2,Howard Higman was a american sociology professor. When was Howard Higman born.
360,Jazz Jennings,Jazz Jennings,"student personality , lgbtq rights activist , spokesmodel , writer , artist , activist , internet",american,2000,2000,69,"Jazz Jennings was a american student personality , lgbtq rights activist , spokesmodel , writer , artist , activist , internet. When was Jazz Jennings born."
361,Sussan Ley,Sussan Ley,"aircraft pilot , taxation officer",australian,1961,1961,48,"Sussan Ley was a australian aircraft pilot , taxation officer. When was Sussan Ley born."
362,Narinder Singh Kapoor ਨਰਿ ਦਰ ਸਿ ਘ ਕਪੂਰ,Narinder Singh Kapoor,essayist,indian,1944,1944,3,Narinder Singh Kapoor ਨਰਿ ਦਰ ਸਿ ਘ ਕਪੂਰ was a indian essayist. When was Narinder Singh Kapoor ਨਰਿ ਦਰ ਸਿ ਘ ਕਪੂਰ born.
363,Priya Bapat,Priya Bapat,actress,indian,1986,1986,12,Priya Bapat was a indian actress. When was Priya Bapat born.
364,Hagen Schulze,Hagen Schulze,historian,german,1943,1943,1,Hagen Schulze was a german historian. When was Hagen Schulze born.
365,Win Tin,Win Tin,journalist and politician,burmese,1930,1929,12,Win Tin was a burmese journalist and politician. When was Win Tin born.
366,William Alphonsus Scott,William Alphonsus Scott,"architect , academic","british and ireland , then irish free state -rrb- / irish -lrb- united kingdom of great britain",1871,1871,3,"William Alphonsus Scott was a british and ireland , then irish free state -rrb- / irish -lrb- united kingdom of great britain architect , academic. When was William Alphonsus Scott born."
367,Elena Văcărescu,Elena Văcărescu,"poet , translator , writer , memoirist , novelist , playwright",romanian,1864,1864,3,"Elena Văcărescu was a romanian poet , translator , writer , memoirist , novelist , playwright. When was Elena Văcărescu born."
368,Frederick A. Schroeder,Frederick A. Schroeder,cigar manufacturer,german-american,1833,1833,9,Frederick A. Schroeder was a german-american cigar manufacturer. When was Frederick A. Schroeder born.
369,Paul Haesaerts,Paul Haesaerts,"architect , illustrator , filmmaker , etcher , painter , screenwriter",dutch,1901,1901,0,"Paul Haesaerts was a dutch architect , illustrator , filmmaker , etcher , painter , screenwriter. When was Paul Haesaerts born."
370,Evaristo Márquez,Evaristo Márquez,actor,colombian,1939,1939,13,Evaristo Márquez was a colombian actor. When was Evaristo Márquez born.
371,Sir Littleton Groom,Littleton Groom,lawyer,australian,1867,1867,38,Sir Littleton Groom was a australian lawyer. When was Sir Littleton Groom born.
372,Phalgunanda Lingden,Phalgunanda,was a great teacher,nepalese,1885,1885,6,Phalgunanda Lingden was a nepalese was a great teacher. When was Phalgunanda Lingden born.
373,Sara Coleridge,Sara Coleridge,translator,english,1802,1802,27,Sara Coleridge was a english translator. When was Sara Coleridge born.
374,Howard Mark Lorber,Howard Lorber,ceo of nathan 's famous of vector group chairman of douglas elliman chairman,united states,1948,1948,12,Howard Mark Lorber was a united states ceo of nathan 's famous of vector group chairman of douglas elliman chairman. When was Howard Mark Lorber born.
375,Carlos Felton,Carlos Felton,politician,mexican,1958,1958,1,Carlos Felton was a mexican politician. When was Carlos Felton born.
376,Charles De Coster,Charles de Coster,novelist,belgium,1827,1827,0,Charles De Coster was a belgium novelist. When was Charles De Coster born.
377,John Henry Evans,John Henry Evans,mormon educator and writer,"welsh , american",1872,1872,6,"John Henry Evans was a welsh , american mormon educator and writer. When was John Henry Evans born."
378,Wilfred Benetto,Wilfred Bennetto,"novelist school for boys , croydon , surrey , 1943-1964 . , poet , english teacher at selhurst grammar",british,1902,1902,2,"Wilfred Benetto was a british novelist school for boys , croydon , surrey , 1943-1964 . , poet , english teacher at selhurst grammar. When was Wilfred Benetto born."
379,"Anthony Joseph Drexel Biddle , Jr. .","Anthony Joseph Drexel Biddle, Jr.","u.s. army general , diplomat",united states of america,1897,1897,0,"Anthony Joseph Drexel Biddle , Jr. . was a united states of america u.s. army general , diplomat. When was Anthony Joseph Drexel Biddle , Jr. . born."
380,Charles W. Thayer,Charles W. Thayer,"diplomat , author , target of mccarthyism",united states,1910,1910,49,"Charles W. Thayer was a united states diplomat , author , target of mccarthyism. When was Charles W. Thayer born."
381,Robert Bell,Robert James Bell,education officer,australia australian,1975,1975,21,Robert Bell was a australia australian education officer. When was Robert Bell born.
382,Jerry Buss,Jerry Buss,"businessman philanthropist businessman , investor , chemist , poker player , , philanthropist investor , chemist , poker player ,",american,1933,1933,41,"Jerry Buss was a american businessman philanthropist businessman , investor , chemist , poker player , , philanthropist investor , chemist , poker player ,. When was Jerry Buss born."
383,Roger Jon Ellory,R. J. Ellory,writer,british,1965,1965,26,Roger Jon Ellory was a british writer. When was Roger Jon Ellory born.
384,Carl Kasell,Carl Kasell,radio newscaster,united states,1934,1934,32,Carl Kasell was a united states radio newscaster. When was Carl Kasell born.
385,William Post Iii,William Post,various prior to winning jackpot,american,1939,1939,16,William Post Iii was a american various prior to winning jackpot. When was William Post Iii born.
386,Frits Korthals Altes,Frits Korthals Altes,politician jurist lawyer,dutch,1931,1931,0,Frits Korthals Altes was a dutch politician jurist lawyer. When was Frits Korthals Altes born.
387,Gregory Jordan Harbaugh,Gregory J. Harbaugh,engineer,american,1956,1956,15,Gregory Jordan Harbaugh was a american engineer. When was Gregory Jordan Harbaugh born.
388,Aldemir Bendine,Aldemir Bendine,"ceo , petrobras",brazilian,1963,1963,5,"Aldemir Bendine was a brazilian ceo , petrobras. When was Aldemir Bendine born."
389,F. W. Blackman,Woodie Blackman,"author , educator",barbadian,1922,1922,7,"F. W. Blackman was a barbadian author , educator. When was F. W. Blackman born."
390,Samuel Ankama,Samuel Ankama,politician,namibian,1957,1957,5,Samuel Ankama was a namibian politician. When was Samuel Ankama born.
391,Seebohm Rowntree,Seebohm Rowntree,"industrialist , sociological researcher and writer",english,1871,1871,37,"Seebohm Rowntree was a english industrialist , sociological researcher and writer. When was Seebohm Rowntree born."
392,Albert Toft,Albert Toft,sculptor,english,1862,1862,70,Albert Toft was a english sculptor. When was Albert Toft born.
393,Edward John Smith,Edward Smith (sea Captain),ship captain,british,1850,1850,62,Edward John Smith was a british ship captain. When was Edward John Smith born.
394,Louise Glück,Louise Glück,poet,united states,1943,1943,142,Louise Glück was a united states poet. When was Louise Glück born.
395,Morjana Alaoui,Morjana Alaoui,actress,moroccan,1983,1982,10,Morjana Alaoui was a moroccan actress. When was Morjana Alaoui born.
396,Alan Meltzer,Alan Meltzer,businessman,american,1944,1944,6,Alan Meltzer was a american businessman. When was Alan Meltzer born.
397,Abbie Hoffman,Abbie Hoffman,"writer , activist , psychologist , speaker",american,1936,1936,102,"Abbie Hoffman was a american writer , activist , psychologist , speaker. When was Abbie Hoffman born."
398,Erwin Olaf,Erwin Olaf,photographer,dutch,1959,1959,14,Erwin Olaf was a dutch photographer. When was Erwin Olaf born.
399,Johanna Thydell,Johanna Thydell,writer,swedish,1980,1980,2,Johanna Thydell was a swedish writer. When was Johanna Thydell born.
400,Jean Peyrelevade,Jean Peyrelevade,civil servant,french,1939,1939,9,Jean Peyrelevade was a french civil servant. When was Jean Peyrelevade born.
401,Maria Corti,Maria Corti,literary scholar and novelist,italian,1915,1915,11,Maria Corti was a italian literary scholar and novelist. When was Maria Corti born.
402,Sydor Rey,Sydor Rey,"poet , writer , orphanage worker",polish,1908,1908,46,"Sydor Rey was a polish poet , writer , orphanage worker. When was Sydor Rey born."
403,Luc Menaše,Luc Menaše,art historian,slovenian,1925,1925,2,Luc Menaše was a slovenian art historian. When was Luc Menaše born.
404,Jeanne Hines,Jeanne Hines,novelist,american,1922,1922,5,Jeanne Hines was a american novelist. When was Jeanne Hines born.
405,Allan Mansoor,Allan Mansoor,deputy sheriff,american,1964,1964,4,Allan Mansoor was a american deputy sheriff. When was Allan Mansoor born.
406,William Edward Farina,William Farina,"author , essayist",united states,1955,1955,0,"William Edward Farina was a united states author , essayist. When was William Edward Farina born."
407,Óscar Malherbe De León,Óscar Malherbe de León,gulf cartel leader,mexican,1964,1964,25,Óscar Malherbe De León was a mexican gulf cartel leader. When was Óscar Malherbe De León born.
408,Lina Spies,Lina Spies,poet writer academic,south african,1939,1939,2,Lina Spies was a south african poet writer academic. When was Lina Spies born.
409,Zaw Zaw,Zaw Zaw,chairman max myanmar group of companies,burmese,1967,1967,33,Zaw Zaw was a burmese chairman max myanmar group of companies. When was Zaw Zaw born.
410,"William Clay Ford , Sr. .","William Clay Ford, Sr.",chairman of detroit lions executive of ford motor company,american,1925,1925,0,"William Clay Ford , Sr. . was a american chairman of detroit lions executive of ford motor company. When was William Clay Ford , Sr. . born."
411,Elsie Jeanette Dunkerley,Elsie J. Oxenham,children 's novelist,british,1880,1880,22,Elsie Jeanette Dunkerley was a british children 's novelist. When was Elsie Jeanette Dunkerley born.
412,Clarence Burton,Clarence Burton,actor,american,1882,1882,1,Clarence Burton was a american actor. When was Clarence Burton born.
413,Sante Kimes,Sante Kimes,con artist,american,1934,1934,45,Sante Kimes was a american con artist. When was Sante Kimes born.
414,Alan Caligiuri,Alan Caligiuri,"tv character , radio host",italy italy,1981,1981,2,"Alan Caligiuri was a italy italy tv character , radio host. When was Alan Caligiuri born."
415,Massimiliano Pani,Massimiliano Pani,"singer , songwriter and producer",italian,1963,1963,29,"Massimiliano Pani was a italian singer , songwriter and producer. When was Massimiliano Pani born."
416,Mahdi Elmandjra,Mahdi Elmandjra,"futurist , economist and sociologist",moroccan,1933,1933,9,"Mahdi Elmandjra was a moroccan futurist , economist and sociologist. When was Mahdi Elmandjra born."
417,Rovnag Abdullayev,Rovnag Abdullayev,businessman,azerbaijani,1965,1965,5,Rovnag Abdullayev was a azerbaijani businessman. When was Rovnag Abdullayev born.
418,Myron H. Wilson,Myron H. Wilson,"businessman , insurance executive",american,1887,1887,4,"Myron H. Wilson was a american businessman , insurance executive. When was Myron H. Wilson born."
419,The Right Honourable The Viscount Buckmaster,"Adrian Buckmaster, 4th Viscount Buckmaster",businessman,british,1949,1949,3,The Right Honourable The Viscount Buckmaster was a british businessman. When was The Right Honourable The Viscount Buckmaster born.
420,Dan T. Cathy,Dan T. Cathy,"chairman , president and ceo , chick-fil-a",american,1953,1953,0,"Dan T. Cathy was a american chairman , president and ceo , chick-fil-a. When was Dan T. Cathy born."
421,David Lavender,David Lavender,"historian , author",american,1910,1910,27,"David Lavender was a american historian , author. When was David Lavender born."
422,Ryo Takamisaki,Ryo Takamisaki,manga artist,japanese,1963,1963,1,Ryo Takamisaki was a japanese manga artist. When was Ryo Takamisaki born.
423,Dayananda Gunawardena,Dayananda Gunawardena,"playwright radio play producer , and writer actor , lyricist , sri lankan dramatist ,",sri lankan,1934,1934,14,"Dayananda Gunawardena was a sri lankan playwright radio play producer , and writer actor , lyricist , sri lankan dramatist ,. When was Dayananda Gunawardena born."
424,Suroosh Alvi,Suroosh Alvi,journalist,canadian,1969,1969,32,Suroosh Alvi was a canadian journalist. When was Suroosh Alvi born.
425,Leonard Paulu,Leonard Paulu,"sprinter , teacher , coach",united states,1896,1896,34,"Leonard Paulu was a united states sprinter , teacher , coach. When was Leonard Paulu born."
426,John David Morley,John David Morley,novelist,british,1948,1948,29,John David Morley was a british novelist. When was John David Morley born.
427,Francis H. Jardeleza,Francis Jardeleza,lawyer,filipino,1949,1949,9,Francis H. Jardeleza was a filipino lawyer. When was Francis H. Jardeleza born.
428,'' ` Aleksandr Mikhailovich Samokutyayev '' ',Aleksandr Samokutyayev,pilot,russian,1970,1970,0,'' ` Aleksandr Mikhailovich Samokutyayev '' ' was a russian pilot. When was '' ` Aleksandr Mikhailovich Samokutyayev '' ' born.
429,Lena Sadler,Lena Sadler,obstetrician,american us,1875,1875,12,Lena Sadler was a american us obstetrician. When was Lena Sadler born.
430,Joann Novoa Mossberger,Joann Novoa Mossberger,politician,mexican,1961,1961,1,Joann Novoa Mossberger was a mexican politician. When was Joann Novoa Mossberger born.
431,Philippe Avril,Philippe Avril,professor,french,1654,1654,4,Philippe Avril was a french professor. When was Philippe Avril born.
432,Sir Elliot Johnson,Elliot Johnson (politician),sailor,australian,1862,1862,6,Sir Elliot Johnson was a australian sailor. When was Sir Elliot Johnson born.
433,Joshua Foer,Joshua Foer,"journalist , writer",american,1982,1982,30,"Joshua Foer was a american journalist , writer. When was Joshua Foer born."
434,Zhang Lifan,Zhang Lifan,"writer , scholar , historian",chinese,1950,1950,17,"Zhang Lifan was a chinese writer , scholar , historian. When was Zhang Lifan born."
435,Pablo Stoll,Pablo Stoll,"film director , screenwriter",uruguayan,1974,1974,3,"Pablo Stoll was a uruguayan film director , screenwriter. When was Pablo Stoll born."
436,Glen Goei,Glen Goei,"producer , director",singaporean,1962,1962,10,"Glen Goei was a singaporean producer , director. When was Glen Goei born."
437,Gregory F. Rayburn,Gregory F. Rayburn,former ceo of hostess brands,american,1959,1958,19,Gregory F. Rayburn was a american former ceo of hostess brands. When was Gregory F. Rayburn born.
438,Jamie Little,Jamie Little,"sportscaster personality , sports reporter , nascar reporter , television",american,1978,1978,10,"Jamie Little was a american sportscaster personality , sports reporter , nascar reporter , television. When was Jamie Little born."
439,Aseel Omran,Aseel Omran,singer,saudi ara,1989,1989,0,Aseel Omran was a saudi ara singer. When was Aseel Omran born.
440,Walter Shorenstein,Walter Shorenstein,real estate developer,united states,1915,1915,22,Walter Shorenstein was a united states real estate developer. When was Walter Shorenstein born.
441,Sir William Roberts,William Roberts (physician),consulting physician,united kingdom,1830,1830,4,Sir William Roberts was a united kingdom consulting physician. When was Sir William Roberts born.
442,Luís De Sttau Monteiro,Luís de Sttau Monteiro,"playwright , novelist",portuguese,1926,1926,0,"Luís De Sttau Monteiro was a portuguese playwright , novelist. When was Luís De Sttau Monteiro born."
443,Kushal Punjabi,Kushal Punjabi,actor,indian,1986,1977,21,Kushal Punjabi was a indian actor. When was Kushal Punjabi born.
444,Jessica Cox,Jessica Cox,"motivational speaking , keynote speaker",american,1983,1983,42,"Jessica Cox was a american motivational speaking , keynote speaker. When was Jessica Cox born."
445,Aleksandar Karakachanov,Aleksandar Karakachanov,politician bulgaria mayor of sofia -lrb- 1990-1991 -rrb- professor at sulsit founder and chairman of the green party of,bulgarian,1960,1960,11,Aleksandar Karakachanov was a bulgarian politician bulgaria mayor of sofia -lrb- 1990-1991 -rrb- professor at sulsit founder and chairman of the green party of. When was Aleksandar Karakachanov born.
446,Sherry Britton,Sherry Britton,"burlesque dancer , actress",american,1918,1918,2,"Sherry Britton was a american burlesque dancer , actress. When was Sherry Britton born."
447,Scipione Borghese,"Scipione Borghese, 10th Prince of Sulmona","adventurer , politician",italian,1871,1871,0,"Scipione Borghese was a italian adventurer , politician. When was Scipione Borghese born."
448,Carlos Ghosn,Carlos Ghosn,"chairman & nbsp ; alliance and ceo of renault , nissan and renault-nissan",french ; lebanese ; brazilian,1954,1954,365,"Carlos Ghosn was a french ; lebanese ; brazilian chairman & nbsp ; alliance and ceo of renault , nissan and renault-nissan. When was Carlos Ghosn born."
449,Don Thompson,"Don Thompson (producer, Playwright)","producer , filmmaker , playwright",american,1956,1956,42,"Don Thompson was a american producer , filmmaker , playwright. When was Don Thompson born."
450,Amy Richards,Amy Richards,"activist historian , writer , organizer , feminist , art",american,1971,1970,35,"Amy Richards was a american activist historian , writer , organizer , feminist , art. When was Amy Richards born."
451,Harry Belafonte,Harry Belafonte,"singer-songwriter , actor , social activist",american,1927,1927,223,"Harry Belafonte was a american singer-songwriter , actor , social activist. When was Harry Belafonte born."
452,Armand Peugeot,Armand Peugeot,business,french,1849,1849,2,Armand Peugeot was a french business. When was Armand Peugeot born.
453,Marc Brown,Marc Brown (author),author and illustrator,american,1945,1946,6,Marc Brown was a american author and illustrator. When was Marc Brown born.
454,Pierre Gamarra,Pierre Gamarra,writer,french,1919,1919,38,Pierre Gamarra was a french writer. When was Pierre Gamarra born.
455,Ronald Neame,Ronald Neame,"director , cinematographer , producer , screenwriter",british,1911,1911,12,"Ronald Neame was a british director , cinematographer , producer , screenwriter. When was Ronald Neame born."
456,Ezzat El Kamhawi,Ezzat el Kamhawi,novelist,egypt,1961,1961,19,Ezzat El Kamhawi was a egypt novelist. When was Ezzat El Kamhawi born.
457,David Day,David Day (historian),"academic , historian , and author",australian,1949,1949,4,"David Day was a australian academic , historian , and author. When was David Day born."
458,Franz Müntefering,Franz Müntefering,"industrial manager , politician",german germany,1940,1940,19,"Franz Müntefering was a german germany industrial manager , politician. When was Franz Müntefering born."
459,Heather Roy,Heather Roy,"physiotherapist reserve , member of parliament , new zealand army",new zealand,1964,1964,12,"Heather Roy was a new zealand physiotherapist reserve , member of parliament , new zealand army. When was Heather Roy born."
460,Marsha Sue Ivins,Marsha Ivins,engineer,american,1951,1951,8,Marsha Sue Ivins was a american engineer. When was Marsha Sue Ivins born.
461,K. R. Meera,K. R. Meera,"novelist writer , columnist , short story writer , journalist , screenplay",indian,1970,1970,23,"K. R. Meera was a indian novelist writer , columnist , short story writer , journalist , screenplay. When was K. R. Meera born."
462,John Le Carré,John le Carré,"novelist , former intelligence officer",british,1931,1931,128,"John Le Carré was a british novelist , former intelligence officer. When was John Le Carré born."
463,Greg Kelly,Greg Kelly,"television personality/host , u.s. marine corps officer",american,1968,1968,13,"Greg Kelly was a american television personality/host , u.s. marine corps officer. When was Greg Kelly born."
464,Norman J. Grossfeld,Norman J. Grossfeld,"television former president of 4kids productions ; former executive vice president executive of television animation for legendary entertainment , director , producer and writer ;",american,1963,1963,49,"Norman J. Grossfeld was a american television former president of 4kids productions ; former executive vice president executive of television animation for legendary entertainment , director , producer and writer ;. When was Norman J. Grossfeld born."
465,Jose Solorio,Jose Solorio,public relations,american,1970,1970,1,Jose Solorio was a american public relations. When was Jose Solorio born.
466,Mark Akenside,Mark Akenside,"poet , physician",english,1721,1721,15,"Mark Akenside was a english poet , physician. When was Mark Akenside born."
467,Anatoly Yakovlevich Solovyev,Anatoly Solovyev,test pilot,russian,1948,1948,17,Anatoly Yakovlevich Solovyev was a russian test pilot. When was Anatoly Yakovlevich Solovyev born.
468,Ted Moore,Ted Moore,"cinematographer , camera operator",british,1914,1914,1,"Ted Moore was a british cinematographer , camera operator. When was Ted Moore born."
469,Murder Of Mary Speir Gunn,Murder of Mary Speir Gunn,telephone operator,scottish,1862,1862,53,Murder Of Mary Speir Gunn was a scottish telephone operator. When was Murder Of Mary Speir Gunn born.
470,Arturo Santana Alfaro,Arturo Santana Alfaro,politician,mexican,1971,1971,10,Arturo Santana Alfaro was a mexican politician. When was Arturo Santana Alfaro born.
471,Durga Shakti Nagpal -Lrb- दुर्गा शक्ति नागपाल -Rrb-,Durga Shakti Nagpal,bureaucrat,indian,1984,1985,128,Durga Shakti Nagpal -Lrb- दुर्गा शक्ति नागपाल -Rrb- was a indian bureaucrat. When was Durga Shakti Nagpal -Lrb- दुर्गा शक्ति नागपाल -Rrb- born.
472,William Langewiesche,William Langewiesche,"journalist , author , aviator",american,1955,1955,16,"William Langewiesche was a american journalist , author , aviator. When was William Langewiesche born."
473,Mahmoud Khayami,Mahmoud Khayami,businessman and philanthropist,iranian,1930,1930,1,Mahmoud Khayami was a iranian businessman and philanthropist. When was Mahmoud Khayami born.
474,Li Shijun Laŭlum,Li Shijun,"translator , author , editor",chinese,1923,1923,9,"Li Shijun Laŭlum was a chinese translator , author , editor. When was Li Shijun Laŭlum born."
475,Leon Narbey,Leon Narbey,cinematographer,new zealand,1947,1947,4,Leon Narbey was a new zealand cinematographer. When was Leon Narbey born.
476,José Francisco Landero,José Francisco Landero,politician,mexican,1971,1971,1,José Francisco Landero was a mexican politician. When was José Francisco Landero born.
477,Bernard Gay Marshall,Bernard Marshall,"writer , editor",american,1875,1875,33,"Bernard Gay Marshall was a american writer , editor. When was Bernard Gay Marshall born."
478,Jonathan Ames,Jonathan Ames,novelist,american,1964,1964,14,Jonathan Ames was a american novelist. When was Jonathan Ames born.
479,Khaled Mohieddine,Khaled Mohieddin,chief secretary of asu press committee -lrb- 1964 -- 65 -rrb- editor head of npup -lrb- 1976 -- -rrb- of al-masa -lrb- 1956 -- 59 -rrb-,egyptian,1922,1922,48,Khaled Mohieddine was a egyptian chief secretary of asu press committee -lrb- 1964 -- 65 -rrb- editor head of npup -lrb- 1976 -- -rrb- of al-masa -lrb- 1956 -- 59 -rrb-. When was Khaled Mohieddine born.
480,Gustave Gilbert,Gustave Gilbert,psychologist,us,1911,1911,9,Gustave Gilbert was a us psychologist. When was Gustave Gilbert born.
481,August Wilhelmj,August Wilhelmj,violinist,german,1845,1845,10,August Wilhelmj was a german violinist. When was August Wilhelmj born.
482,Paula Vogel,Paula Vogel,"playwright , professor",united states,1951,1951,47,"Paula Vogel was a united states playwright , professor. When was Paula Vogel born."
483,Adam Zeis,Adam Zeis,"managing editor , connectedly.com",american,1978,1978,6,"Adam Zeis was a american managing editor , connectedly.com. When was Adam Zeis born."
484,Sofie Gråbøl,Sofie Gråbøl,actor,danish,1968,1968,36,Sofie Gråbøl was a danish actor. When was Sofie Gråbøl born.
485,José Manuel Carrillo Rubio,José Manuel Carrillo Rubio,politician,mexican,1975,1975,1,José Manuel Carrillo Rubio was a mexican politician. When was José Manuel Carrillo Rubio born.
486,Bryan Stanley Turner,Bryan Turner (sociologist),"presidential on religion -lrb- cuny -rrb- ; director of the institute professor for religion , politics and society at the australian catholic of university . sociology and director of the committee",british and australian -lrb- dual citizen -rrb-,1945,1945,15,"Bryan Stanley Turner was a british and australian -lrb- dual citizen -rrb- presidential on religion -lrb- cuny -rrb- ; director of the institute professor for religion , politics and society at the australian catholic of university . sociology and director of the committee. When was Bryan Stanley Turner born."
487,Jim Cairns,Jim Cairns,"policeman , lecturer",australian,1914,1914,36,"Jim Cairns was a australian policeman , lecturer. When was Jim Cairns born."
488,Cecilia Soledad Arévalo,Cecilia Soledad Arévalo,politician,mexican,1968,1968,1,Cecilia Soledad Arévalo was a mexican politician. When was Cecilia Soledad Arévalo born.
489,Michael Flatley,Michael Flatley,"dancer flautist , choreographer , actor , occasional broadcaster , writer ,",irish-american,1958,1958,111,"Michael Flatley was a irish-american dancer flautist , choreographer , actor , occasional broadcaster , writer ,. When was Michael Flatley born."
490,Sergei Gavrilovich Simonov Сергей Гаврилович Симонов,Sergei Gavrilovich Simonov,small arms designer,russian,1894,1894,0,Sergei Gavrilovich Simonov Сергей Гаврилович Симонов was a russian small arms designer. When was Sergei Gavrilovich Simonov Сергей Гаврилович Симонов born.
491,Marian Finucane,Marian Finucane,broadcaster,irish,1950,1950,22,Marian Finucane was a irish broadcaster. When was Marian Finucane born.
492,Jim Williams,Jim Williams (analog Designer),electronics engineer,american,1948,1948,5,Jim Williams was a american electronics engineer. When was Jim Williams born.
493,George Henry Murray,George Henry Murray,"teacher , lawyer",canadian,1861,1861,13,"George Henry Murray was a canadian teacher , lawyer. When was George Henry Murray born."
494,Homai Vyarawalla,Homai Vyarawalla,photojournalist,indian,1913,1913,30,Homai Vyarawalla was a indian photojournalist. When was Homai Vyarawalla born.
495,Dasari Subrahmanyam,Dasari Subrahmanyam,"story writer , children 's literature writer , novelist",indian,1932,1922,0,"Dasari Subrahmanyam was a indian story writer , children 's literature writer , novelist. When was Dasari Subrahmanyam born."
496,Hart Crane,Hart Crane,poet,american,1899,1899,56,Hart Crane was a american poet. When was Hart Crane born.
497,George Martin,George Martin (american Actor),actor,american,1929,1929,0,George Martin was a american actor. When was George Martin born.
498,Sir Hugh Orde,Hugh Orde,president of acpo,british,1958,1958,4,Sir Hugh Orde was a british president of acpo. When was Sir Hugh Orde born.
499,Jason Brilz,Jason Brilz,firefighter,american,1975,1975,15,Jason Brilz was a american firefighter. When was Jason Brilz born.
500,Claude Lanzmann,Claude Lanzmann,filmmaker,french,1925,1925,23,Claude Lanzmann was a french filmmaker. When was Claude Lanzmann born.
501,David Soknacki,David Soknacki,business owner,canadian,1954,1954,19,David Soknacki was a canadian business owner. When was David Soknacki born.
502,Ethan Gilsdorf,Ethan Gilsdorf,"freelance geek writer , teacher , poet , author ,",american,1966,1966,47,"Ethan Gilsdorf was a american freelance geek writer , teacher , poet , author ,. When was Ethan Gilsdorf born."
503,André Téchiné,André Téchiné,filmmaker,french,1943,1943,29,André Téchiné was a french filmmaker. When was André Téchiné born.
504,Robert Osborne,Robert Osborne,tcm host,american,1932,1932,54,Robert Osborne was a american tcm host. When was Robert Osborne born.
505,William Temple Thomson Mason,William Temple Thomson Mason,"planter , businessperson",american,1782,1782,48,"William Temple Thomson Mason was a american planter , businessperson. When was William Temple Thomson Mason born."
506,Wilhelm Voigt,Wilhelm Voigt,shoemaker,german,1849,1849,3,Wilhelm Voigt was a german shoemaker. When was Wilhelm Voigt born.
507,Kim Stanley Robinson,Kim Stanley Robinson,writer,american,1952,1952,59,Kim Stanley Robinson was a american writer. When was Kim Stanley Robinson born.
508,Harry Luman Russell,Harry Luman Russell,"bacteriologist , educator",united states of america,1866,1866,23,"Harry Luman Russell was a united states of america bacteriologist , educator. When was Harry Luman Russell born."
509,Leigh A. Wiener,Leigh Wiener,"photographer , photojournalist",american,1929,1929,10,"Leigh A. Wiener was a american photographer , photojournalist. When was Leigh A. Wiener born."
510,Francis James Sumner,Francis Sumner (mayor),wren nest mill owner in glossop,british,1807,1807,14,Francis James Sumner was a british wren nest mill owner in glossop. When was Francis James Sumner born.
511,Kyle Jarrow,Kyle Jarrow,"writer , musician",american,1979,1979,15,"Kyle Jarrow was a american writer , musician. When was Kyle Jarrow born."
512,Šime Budinić,Šime Budinić,"catholic priest , writer",venetian,1530,1530,50,"Šime Budinić was a venetian catholic priest , writer. When was Šime Budinić born."
513,Paolo A. Nespoli,Paolo Nespoli,italian army,italian,1957,1957,18,Paolo A. Nespoli was a italian italian army. When was Paolo A. Nespoli born.
