,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,description
112,Ian Tattersall,Ian Tattersall,paleoanthropologist,american,1945,1945,18,"ian tattersall -lrb- born 1945 -rrb- is a british-born american paleoanthropologist and a curator emeritus with the american museum of natural history in new york city , new york .
in addition to human evolution , tattersall has worked extensively with lemurs .
tattersall is currently working with the templeton foundation .
"
113,Mike Newell,Mike Newell (director),"director , producer",british,1942,1942,13,"michael cormac `` mike '' newell -lrb- born 28 march 1942 -rrb- is an english director and producer of motion pictures for film and television .
newell won the 1994 bafta award for best direction for `` four weddings and a funeral '' .
"
114,William De Silva,William de Silva,"cabinet minister , ceylon high commissioner",sri lanka sri lankan,1908,1908,7,"peduru hewage `` william '' de silva -lrb- 8 december 1908 -- 30 july 1988 -rrb- was a 20th-century ceylonese politician with marxist/trotskyist leanings .
p. h. william de silva was born at kahatapitiya in batapola , ambalangoda , ceylon , to a wealthy land-owning family .
he received his elementary education at batapola mixed school and secondary education at st john 's college , panadura , richmond college , galle , and ananda college , colombo .
he studied for one year at the university college colombo -lrb- now the university of colombo -rrb- and then traveled to england for further studies at university college , oxford .
while in england , william de silva joined the india league and a marxist study group with other ceylonese students in london .
he then returned to ceylon and joined the lanka sama samaja party -lrb- lssp -rrb- .
during world war ii , he was an anti-war movement leader and was imprisoned in bogambara prison and badulla prison in sri lanka -lrb- 1943 -- 45 -rrb- .
he became a ceylonese member of parliament in 1947 and 1953 .
he was leader of the all-ceylon estate workers union and vice president of the all-ceylon congress of samasamaja youth leagues .
he separated from the lssp in october 1953 and joined the viplavakari lanka sama samaja party -lrb- vllsp -rrb- .
he was the founding leader of mahajana eksath peramuna -lrb- mep -rrb- .
he was cabinet minister of industries and fisheries in s. w. r. d. bandaranaike 's slfp-mep coalition government -lrb- 1956 -- 59 -rrb- .
he became a member of parliament in 1960 and was vice president of the sri lanka freedom party -lrb- slfp -rrb- .
in 1970 , he became the ceylon high commissioner to canada .
de silva died aged 80 .
"
115,"Starke Taylor , Jr. .",Starke Taylor,cotton investor,american,1922,1922,5,"austin starke taylor , jr. -lrb- july 2 , 1922 -- october 27 , 2014 -rrb- was mayor of dallas , texas , from 1983 to 1987 , and a cotton investor .
"
116,William Rosenberg,William Rosenberg,entrepreneur,united states,1916,1916,21,"william rosenberg -lrb- june 10 , 1916 - september 22 , 2002 -rrb- was an american jewish entrepreneur best known for founding the dunkin' donuts franchise in 1950 in quincy , massachusetts , one of the pioneers in name-brand franchising , originally named the `` open kettle '' doughnut shop when established in 1948 .
at the end of 2011 , there were more than 10,000 outlets of the chain in 32 countries .
"
117,Albert Brahms,Albert Brahms,farmer judge,german,1692,1692,9,"albert brahms -lrb- october 24 , 1692 -- august 3 , 1758 -rrb- was a frisian dike judge , an elected community leader responsible for maintaining the dikes that protected the area against the wadden sea , and a pioneer of hydraulic engineering .
"
118,Gerd Achgelis,Gerd Achgelis,"stunt pilot , test pilot",germany german,1908,1908,2,"gerd achgelis -lrb- 16 july 1908 -- 18 may 1991 -rrb- was a german aviator , test pilot , and pioneer in the development of helicopters .
"
119,Pete Harman,Pete Harman,entrepreneur,american,1919,1919,5,"leon weston `` pete '' harman -lrb- january 16 , 1919 -- november 19 , 2014 -rrb- was an american businessman best known for having struck a deal with colonel harland sanders to open the first kfc franchise .
located in salt lake city , utah it opened for business in august 1952 .
harman was born in 1919 in granger , now a part of west valley city , a suburb of salt lake city , utah to david reese harman -lrb- 1874 -- 1924 -rrb- and grace may hemenway -lrb- 1879 -- 1919 -rrb- .
harman was the youngest of 14 children in a mormon family .
harman and his wife , arline , opened their first restaurant , the do drop inn , with two employees in 1941 .
harman worked with harland sanders to develop and prepare the kfc system for franchising , working to develop training manuals and product guides .
his other claims to fame are the development of the bucket packaging and the emphasis on the `` finger-lickin ' good '' motto .
in 1990 the international foodservice manufacturer association recognized harman 's achievements with its gold plate award .
at the time of the award the harman management corp. of los altos , california , employs over 4,000 people and operates 238 kfc stores in four states .
credit for his success was given to his enlightened practices towards his staff including stock purchase schemes .
his original kfc building was demolished in 2004 to make way for a museum and an updated restaurant .
harman retired and moved to california , living there until his death on november 19 , 2014 , at 95 years old .
"
120,Rictor Norton,Rictor Norton,writer,american,1945,1945,3,"rictor norton -lrb- born 1945 -rrb- is an american writer on literary and cultural history , particularly gay history .
he is based in london , england .
"
121,Sir James Donaldson,James Donaldson (publisher),newspaper publisher,scottish,1751,1751,16,"sir james donaldson -lrb- 10 december 1751 -- 16 december 1830 -rrb- was a scottish printer and newspaper publisher .
he bequeathed a large part of his estate to the founding of donaldson 's hospital .
"
122,William Robert Webb,William R. Webb,"soldier , educator",american,1842,1842,9,"william robert webb -lrb- november 11 , 1842december 19 , 1926 -rrb- also known as sawney webb , was an educator who founded the webb school and served briefly as a democratic united states senator from tennessee .
"
123,Mohamed Riad Ibrahim,Mohamed Riad Ibrahim,taekwondo referee,egyptian,1955,1955,0,"dr. mohamed riad ibrahim -lrb- born october 26 , 1955 in cairo , egypt -rrb- is a taekwondo international referee who participated in the 2004 summer olympics in athens , greece and the 2000 summer olympics in sydney , australia .
"
124,Will Firth,Will Firth,literary translator,australian,1965,1965,4,"will firth , born 23 may 1965 in newcastle , australia , is a literary translator who focuses on contemporary writing from the serbo-croatian speaking countries and macedonia .
he graduated in german and russian -lrb- with serbo-croatian as a minor -rrb- from the australian national university in canberra in 1986 -lrb- ba -rrb- .
he won a scholarship to read south slavic studies at the university of zagreb in the 1988-89 academic year and spent a further postgraduate year at the pushkin institute in moscow in 1989-90 .
subsequently he qualified as a translator from croatian , german , macedonian and russian with the national accreditation authority for translators and interpreters -lrb- naati -rrb- in australia .
since 1991 he has been living in germany , where he works as a freelance translator of literature and the humanities .
he translates from russian , macedonian , and all variants of serbo-croatian into english , occasionally into german .
in 2005-07 he worked for the international criminal tribunal for the former yugoslavia -lrb- icty -rrb- .
since the mid-2000s , firth has largely been translating works of south slavic literature .
he is a member of the professional associations of translators in australia -lrb- ausit -rrb- and germany -lrb- vdÜ -rrb- .
"
125,"Isaiah Jones , Jr. .","Isaiah Jones, Jr.","christian minister , musician",american,1940,1940,0,"isaiah jones , jr. -lrb- 1940 -- 2008 -rrb- was an award-winning musician and presbyterian minister .
"
126,Freddie Quizon,Freddie Quizon,"actor , comedian , production coordinator",filipino,1956,1956,1,"wilfredo `` freddie '' dominguez quizon -lrb- july 27 , 1956 -- november 18 , 2005 -rrb- he is the son of comedy king dolphy and engracia dominguez .
"
127,Li Xiaolin,Li Xiaolin,chairman of the china power investment corporation,chinese,1961,1961,13,"li xiaolin -lrb- ; born 1961 -rrb- is a chinese businesswoman , current serving as vice-president of the china datang corporation , a state-owned power generation enterprise .
she is the former ceo of china power international development -lrb- sehk : 2380 -rrb- .
she is the only daughter of former chinese premier li peng and his wife zhu lin .
she was trained as a power generation engineer at tsinghua university .
"
128,Johann Nikolaus Von Dreyse,Johann Nicolaus von Dreyse,"inventor , entrepreneur",german,1787,1787,2,"johann nicolaus von dreyse -lrb- november 20 , 1787 -- december 9 , 1867 -rrb- was a german firearms inventor and manufacturer .
he is most famous for submitting the `` dreyse needle gun '' in 1836 to the prussian army , which was adopted for service in december 1840 as the `` leichte perscussions-gewehr m 1841 '' -- a name deliberately chosen to mislead about the rifle 's mechanism -- later renamed zündnadelgewehr m 1841 in 1855 .
dreyse was born in sömmerda -lrb- then ruled by the archbishopric of mainz -rrb- , the son of a locksmith .
dreyse worked from 1809 to 1814 in the parisian gun factory of jean-samuel pauly , a swiss who designed several experimental breech-loading military rifles .
returning to sömmerda , he in 1824 founded a company to manufacture percussion caps .
it was there that he designed the needle rifle .
while the gun is thought of by some to be the first bolt-action rifle , in reality it bears little resemblance to modern bolt-action rifles , except for the bolt principle itself which was applied to close the breech .
ammunition for the dreyse rifle was made up of paper cartridges holding the bullet into a sabot .
the gun 's needle penetrated the paper cartridge before igniting the black powder charge .
the dreyse 's simple construction made it relatively easy to keep clean and in operation .
for instance , worn needles could be quickly replaced without dismantling the bolt mechanism .
the dreyse rifle was a significant ordnance improvement for its time , since it permitted a much faster rate of fire than the muzzle-loading rifled muskets which were the standard of world 's armies until the mid-1860s .
it also enabled riflemen to reload without standing and exposing themselves to fire .
the dreyse rifle was used by the prussians during the austro-prussian war , at the battle of königgrätz , and the franco-prussian war .
by that time , the gun was fast becoming obsolete , and was outclassed by the french bolt action `` mle '' 1866 chassepot rifle .
other bolt action rifle designs had emerged in other countries .
for example , in 1869 switzerland adopted the bolt action vetterli rifle which was a tube magazine rimfire metallic cartridge repeater .
the french transformed the 11mm chassepot into a metallic cartridge bolt action rifle , the `` mle '' 1874 gras .
germany had also switched earlier to an 11mm metallic cartridge with the entirely new mauser model 1871 bolt action rifle .
great britain and the u.s. evolved from muzzle loaders to metallic cartridge breech loaders , but with systems other than bolt action , during that same period .
there remains some ambiguity about the activities of von dreyse after he created the needle-gun , as he seems to have dropped the `` johann '' part of his name and was known as `` nikolaus von dreyse '' .
"
129,Charlie Barnett,Charlie Barnett (actor),actor,african american,1988,1988,48,"charlie barnett is an american actor from sarasota , florida .
he previously starred as peter mills , a firefighter/paramedic on the nbc drama `` chicago fire '' .
barnett left `` chicago fire '' in 2015 .
"
130,Cynthia Maung,Cynthia Maung,physician,burmese,1959,1959,12,"dr. cynthia maung -lrb- ; born 6 december 1959 -rrb- is a burmese medical doctor who since 1989 has lived in mae sot , on the thai-burmese border .
an ethnic karen , dr. maung left burma -lrb- myanmar -rrb- after the 8888 uprising and has since run a clinic treating burmese refugees , migrants and orphans at mae tao clinic in mae sot on the thai-burmese border , together with 100 paramedics and teachers .
maung received southeast asia 's ramon magsaysay award for community leadership and she was listed as one of 2003 time magazine 's asian heroes .
altogether she has received six international awards for her work .
in 1999 , she was the first recipient of the jonathan mann award , sponsored by swiss and us health organisations .
cynthia maung has been married to kyaw hein since 1992 .
together , they have two children : nyein chan maung and may thint sin .
"
131,Robyn Scott,Robyn Scott,entrepreneur and writer,new zealander,1981,1981,7,"robyn scott -lrb- born 9 january 1981 -rrb- is a british-born writer and entrepreneur .
she studied at auckland university and cambridge university .
she was a gates scholar .
her first book , `` twenty chickens for a saddle '' , a memoir about growing up in botswana , was published in march 2008 .
her second book , `` big like coca-cola '' , is about a group of maximum security prisoners in south africa who have adopted aids orphans .
scott is also a co-founder of start-up oneleap , and of southern african social enterprises brothers for all and mothers for all .
"
132,Prof. Wanjiku Mukabi Kabira,Wanjiku Kabira,"lecturer nairobi -rrb- , author , director awsc -lrb- university of",kenyan,1948,1948,6,"wanjiku kabira is an associate professor of literature at the university of nairobi , kenya .
she has specialized in the fields of oral literature , african-american literature and caribbean literature .
she has been actively involved in women affairs and in gender issues .
wanjiku has served as in various capacities notably as a. vice-chair in the kenya constitutional review process -lrb- 2000-2005 -rrb- b. chair person women political alliance -lrb- 1 -rrb- -lrb- 2002-2011 -rrb- c. director collaborative center for gender and development -lrb- 1995-2009 -rrb- -lrb- 2 -rrb- d. chair , department of literature , university of nairobi
"
133,Elfi Von Dassanowsky,Elfi von Dassanowsky,"film producer , opera singer , pianist , educator",austrian,1924,1924,4,"elfriede `` elfi '' von dassanowsky -lrb- february 2 , 1924october 2 , 2007 -rrb- was an austrian-born singer , pianist , film producer and humanitarian .
"
134,Mercy Aigbe Gentry,Mercy Aigbe Gentry,actress producer director businesswoman,nigerian,1979,1978,0,"mercy aigbe is a nigerian actress , director and businesswoman .
she is best known for her yoruba language movies .
"
135,Donatella Albano,Donatella Albano,politician,italian,1958,1958,2,"donatella albano -lrb- born 21 january 1958 -rrb- is an italian politician from the democratic party of italy .
as of 2014 she serves as senator of the parliament of italy representing luguria .
"
136,Ai Shinozaki,Ai Shinozaki,"gravure idol , actress , singer , model",japanese,1992,1992,28,"`` for the magical girl anime series character see ai shinozaki -lrb- corrector yui -rrb- . ''
when she started modelling in 2006 at age 14 , shinozaki caused widespread press and web comment about her having an unusually curvy figure for a japanese teenager .
in 2009 , her page on the directory site `` chu-boh '' gave her height and figure as `` 160 b87 w60 h88 '' -lrb- , -- -rrb- .
she regularly appears on the front page of popular titles , such as `` young animal '' and `` weekly young jump '' .
the lines between gravure idols and pop idols are very blurred , and aside from modelling she has gone on to forge a career as a pop idol .
the name ai means `` love '' in japanese and often titles of her productions are puns coming from that double meaning .
"
137,Eugenio Coșeriu,Eugenio Coșeriu,professor,"romania , germany",1921,1921,3,"eugenio coșeriu -lrb- , ; july 27 , 1921 -- september 7 , 2002 -rrb- was a linguist that specialized in romance languages at the university of tübingen , author of over 50 books , honorary member of the romanian academy .
"
138,Tony Johnston,Tony Johnston,television presenter and actor,australian,1970,1970,11,"tony johnston is an australian television presenter , producer and radio broadcaster .
tony began his career in 1986 , as a presenter on the music video show ` saturday jukebox ' on the seven network in australia .
in 1987 , he started hosting the children 's program ` ok ' with the nine network .
in 1992 , tony commenced as a reporter with the ` logie ' award winning program ` wonder world ' .
in 1996 , johnston became the host of the quiz program `` time masters '' on the seven network .
in the same year , he started presenting on the top rated ` great outdoors ' travel program .
in 2002 , johnston became the state wide weather presenter on `` the great southeast '' in queensland and hosted a talkback radio show on ` news talk 1116 4bc ' .
from 2003 , through to the current time , tony has been the director of a new media production company ` tjtv pty ltd ' and continues his radio career with the australian broadcasting corporation , as a talkback host with 612 abc brisbane and abc coast fm .
in 2008 johnston joined the world radio switzerland , wrs is switzerland 's english speaking radio station .
"
139,Siegfried Bettmann,Siegfried Bettmann,motorcycle and car manufacturer,originally german became british national,1863,1863,14,"siegfried bettmann was a bicycle , motorcycle and car manufacturer and initiator of the triumph motorcycle company .
in 1914 he established the annie bettmann foundation to help young people start businesses triumph became one of the most famous motorcycle trade-names of the world .
"
140,Ivan Hutchinson,Ivan Hutchinson,"film hsv-7 critic , television personality , music director for",australian,1928,1928,1,"ivan joseph hutchinson -lrb- 11 february 1928 -- 7 october 1995 -rrb- was an australian film critic and television personality for over 30 years from the early 1960s until the mid-1990s , first on melbourne-only programmes on hsv and later nationwide through the entire seven network .
hutchinson 's choice in the mid-1980s to screen the 1946 film `` song of the south '' for his `` ivan 's friday family movie '' programme on the seven network was a source of protest against both hutchinson and seven .
in his last years , hutchinson was a film columnist for `` the sun news-pictorial '' and its successor , the `` herald sun '' .
in addition to his on-air role for seven , hutchinson served as music director for hsv from 1964 -- 1994 .
"
141,Jackie French Koller,Jackie French Koller,author,american,1948,1948,2,"jackie french koller -lrb- born 1948 -rrb- is an american author of picture books , chapter books , and novels for children and young adults .
she lives and writes in western massachusetts .
koller is also an accomplished painter .
her interest in art inspired her to open the little black dog gallery in westfield , massachusetts .
koller 's young-adult novel `` if i had one wish '' was adapted into a disney channel original movie under the title `` you wish ! '' .
"
142,Gareth Thomas,Gareth Thomas (actor),actor,british,1945,1945,24,"gareth thomas -lrb- born 12 february 1945 -rrb- is a welsh actor .
he is best known for his role as roj blake in the bbc science fiction television series `` blake 's 7 '' , but has appeared in many other films and television programmes , including shem in the itv sci-fi series `` star maidens '' and adam brake in the fantasy series `` children of the stones '' .
"
143,Dwight Baldwin,Dwight Baldwin (missionary),"missionary , physician",united states,1798,1798,43,"dwight baldwin -lrb- 1798 -- 1886 -rrb- was an american christian missionary and physician on maui , one of the hawaiian islands , during the kingdom of hawaii .
he was patriarch of a family that founded some of the largest businesses in the islands .
"
144,Angela Sun,Angela Sun,"sports reporter for yahoo ! sports , documentary filmmaker",american,1982,1979,12,"angela sun -lrb- born october 19 , 1982 -rrb- is an american journalist , television presenter , sportscaster , and documentary filmmaker .
a correspondent for `` american ninja warrior '' , sun also hosted `` yahoo sports minute '' , and anchors `` court reports '' on the tennis channel .
"
145,Rose Lomathinda Chibambo,Rose Chibambo,activist,malawi,1928,1928,35,"rose lomathinda chibambo -lrb- born 8 september 1928 -rrb- was a prominent politician in the british protectorate of nyasaland in the years leading up to independence as the state of malawi in 1964 , and immediately after .
rose chibambo organised malawian women in their political fight against the british as a political force to be reckoned with alongside their menfolk in the push for independence .
she was imprisoned in 1959 , while pregnant with her 5th child , along with other malawians whom the federal government felt were a threat to british rule .
she gave birth while imprisoned and was not released till a year later .
after malawi gained independence , rose chibambo was the first woman minister in the new cabinet .
when she fell out with dr. hastings banda she was forced into exile for thirty years , returning after the restoration of democracy
"
146,Shreya Guhathakurta শ্রেয়া গুহঠাকুরতা,Shreya Guhathakurta,vocalist,indian,1975,1975,16,"shreya guhathakurta -lrb- শ্রেয়া গুহঠাকুরতা -rrb- -lrb- february 3 , 1975 -rrb- is an indian rabindra sangeet singer .
"
147,Robert Parry,Robert Parry (poet),romance writer ; poet ; translator,welsh -lrb- kingdom of england -rrb-,1540,1540,5,"robert parry -lrb- 1540 -- 1612 -rrb- was a welsh poet , romancier and translator who published the romance `` moderatus '' and a collection of verse mysteriously entitled `` sinetes passions '' , which may have influenced shakespeare 's sonnets .
"
148,Nawar Bulbul,Nawar Boulboul,"playwright , director , actor",syrian,1973,1973,3,"nawar bulbul -lrb- 1973 -rrb- , is a syrian theatre director , actor , playwright , and founder of al-khareef theatre troupe in damascus , syria .
most noted for his acting role in the widely watched arab historical drama bab al-hara , nawar bulbul has received numerous awards and performed in plays internationally .
he received nominations for best actor in his role in the play ismail hamlet at the lift london and carthage theatre festivals .
in 2006 he travelled to texas for the midland international theatre festival , where he received an award for excellence in acting .
in 2010 bulbul and his writing and acting partner ramez alaswad returned to the united states where they performed their two man show `` the solitary '' at the san francisco international arts festival .
this was part of a tour that brought bulbul and alaswad to japan , spain , canada , and the czech republic .
in 2011 , as a result of his playwrighting and directing work and because of his participation in protests against the al-assad government , bulbul was forced to relocate to jordan .
in 2014 he began working with children in the zaatari refugee camp in mashraq , jordan , where he directed approximately 100 young actors in an adaptation of shakespeare 's `` king lear '' .
this work attracted the attention of the international press and the unhcr .
in an interview with the new york times on march 31 , 2014 , bulbul explained , `` the show is to bring back laughter , joy and humanity . ''
"
149,Hossein Shahabi Fa حسین شهابی,Hossein Shahabi,"film director , screenwriter & film producer",iranian,1967,1967,29,"hossein shahabi -lrb- -rrb- is an iranian film director , screenwriter and film producer he belongs to the third generation of the new wave of iranian cinema is making his first feature film was appreciated and praised by critics and became famous domestic and foreign .
"
150,Wiktoryna Bakalowiczowa,Wiktoryna Bakalowiczowa,actress,polish,1835,1835,0,"wiktoryna józefa szymanowska-bakalowiczowa -lrb- 17 october 1835 -- 30 october 1874 -rrb- was a polish theatre actress .
it was believed that szymanowska was a well established female actress , earning 10 rubles per performance .
in 1856 , she married painter władysław bakałowicz , and had a son named stefan bakałowicz in 1857 .
"
151,Robert A. Futterman,Robert A. Futterman,"real estate investor , developer , author",american,1928,1928,24,"robert allen futterman -lrb- 1928 -- 1961 -rrb- was an american real estate investor , developer , author , and founder of the futterman corporation -- a publicly traded new york-based real-estate holding and development company , which he built into a $ 100 million nationwide enterprise prior to his sudden death in november 1961 at age 33 .
from headquarter offices located in the world diamond building -lrb- then `` empire trust company building '' -rrb- at 580 fifth avenue , futterman operated and managed 43 properties in 23 cities , refining a real estate concept he called `` double diversification '' -- balancing a real estate portfolio across both geographies and industries .
futterman was a widely cited expert on urban renewal , having authored `` the future of our cities , '' published in august 1961 by doubleday & co -- with an introduction by architect victor gruen .
the book gives a global survey metropolitan development and redevelopment and an analysis of 17 specific u.s. cities , with a `` dramatic documentation of the economic dependence of major urban centers on defense contracts and military installations . ''
for the breadth of work within his brief professional career , the akron beacon journal in june 2008 called futterman a real estate `` boy genius . ''
"
152,Iosif R. Grigulevich,Iosif Grigulevich,"soviet spy , assassin","lithuanian , soviet",1913,1913,19,"iosif romualdovich grigulevich -lrb- ; may 5 , 1913 -- june 2 , 1988 -rrb- was a soviet illegal operative -lrb- a spy acting without legitimate diplomatic cover -rrb- between 1937 and 1953 , when he took a leading role in assassinating leftists who were not loyal to joseph stalin .
under a false identity as teodoro b. castro , a wealthy costa rican expatriate living in rome , grigulevich served as the ambassador of the republic of costa rica to both italy and yugoslavia -lrb- 1952 -- 1954 -rrb- .
his mission to assassinate yugoslav leader josip broz tito was aborted due to stalin 's death , after which grigulevich settled in moscow , where he worked as an expert on the history of latin america and on the roman catholic church .
he was a member of the soviet academy of sciences , served as editor-in-chief of the magazine `` obshchestvennye nauki i sovremennost '' -lrb- `` social sciences today '' -rrb- , and published many books and articles about latin american subjects .
"
153,M. Wartella,M. Wartella,"cartoonist , animator",american,1976,1976,21,"michael m. wartella is an american underground cartoonist , animator , writer and director based in new york city , generally publishing under the name m. wartella or just wartella .
he is best known for his work in `` the village voice '' and on cartoon network 's mad .
he is the founder of brooklyn 's dream factory animation , a boutique studio specializing in the production of animated shorts for corporate and indie clients .
"
154,Fred Whishaw,Fred Whishaw,"writer , historian , musician",british,1854,1854,10,"frederick james whishaw -lrb- 14 march 1854 -- 8 july 1934 -rrb- was a russian-born british novelist , historian , poet and musician .
a popular author of children 's fiction at the turn of the 20th century , he published over forty volumes of his work between 1884 and 1914 .
he was a prolific historical novelist , many of his books being set in czarist russia , and his `` schoolboy '' and adventure serials appeared in many boys ' magazines of the era .
several of these were published as full length novels , such as `` gubbins minor and some other fellows '' -lrb- 1897 -rrb- , `` the boys of brierley grange '' -lrb- 1906 -rrb- and `` the competitors : a tale of upton house school '' -lrb- 1906 -rrb- .
other stories , such as `` the white witch of the matabele '' -lrb- 1897 -rrb- or `` the three scouts : a story of the boer war '' -lrb- 1900 -rrb- , depicted colonial africa .
whishaw was also one of the first translators of fyodor dostoevsky , the first in the english language .
he had several of the russian author 's novels published between 1886 and 1888 .
"
155,Jeff Speakman,Jeff Speakman,actor martial artist,united states of america american,1958,1958,8,"jeff speakman -lrb- born november 8 , 1958 -rrb- is an american actor and a martial artist in the art of american kenpo karate and japanese goju-ryu , earning black belts in each .
"
156,Herbert Tuckerman,Herbert Tuckerman,insurance agent,american,1921,1921,9,"herbert sears tuckerman -lrb- may 2 , 1921 -- august 8 , 2007 -rrb- was an american politician who served in the massachusetts house of representatives and the massachusetts senate .
"
157,Mireya Baltra Moreno,Mireya Baltra,"politician , journalist",chilean,1932,1932,16,"mireya baltra moreno -lrb- born santiago de chile , february 25 , 1932 -rrb- is a chilean sociologist , journalist and politician , a member of the communist party of chile .
she has been a deputy and a councillor for santiago , and served as minister of labour and social welfare under salvador allende .
"
158,Martín Ramírez Pech,Martín Ramírez Pech,politician,mexican,1968,1968,1,"edgar martín ramírez pech -lrb- born 23 january 1968 -rrb- is a mexican politician from the national action party .
from 2006 to 2009 he served as deputy of the lx legislature of the mexican congress representing yucatán .
"
159,Sheila Steafel,Sheila Steafel,"film , radio , stage and television actress",british,1935,1935,15,"sheila steafel -lrb- born 26 may 1935 -rrb- is a south african-born actress who has lived all her adult life in the united kingdom .
"
160,Madhuri Dixit,Madhuri Dixit,actress,indian,1967,1967,301,"madhuri dixit -lrb- born 15 may 1967 -rrb- , also known as madhuri dixit-nene after her marriage , is an indian actress who is known for her work in hindi cinema .
a leading actress of bollywood in the 1980s , 1990s and early-2000s , dixit has been praised by critics for her acting and dancing skills , and achieved mass popularity due to her physical beauty .
she has received six filmfare awards , four for best actress , one for best supporting actress and one special award .
she has also been nominated for the filmfare award for best actress a record fourteen times .
she was awarded the padma shri , india 's fourth-highest civilian award , by the government of india in 2008 .
dixit made her film debut in `` abodh '' -lrb- 1984 -rrb- and received wider public recognition with `` tezaab '' -lrb- 1988 -rrb- .
she went on to establish herself as a leading actress of hindi cinema with the films `` ram lakhan '' -lrb- 1989 -rrb- , `` parinda '' -lrb- 1989 -rrb- , `` dil '' -lrb- 1990 -rrb- , `` saajan '' -lrb- 1991 -rrb- , `` beta '' -lrb- 1992 -rrb- , `` khalnayak '' -lrb- 1993 -rrb- , `` hum aapke hain koun . . ! ''
-lrb- 1994 -rrb- , `` raja '' -lrb- 1995 -rrb- , and `` dil to pagal hai '' -lrb- 1997 -rrb- .
she also garnered critical acclaim for her work in the dramas `` anjaam '' -lrb- 1994 -rrb- , `` mrityudand '' -lrb- 1997 -rrb- , `` pukar '' -lrb- 2000 -rrb- , `` lajja '' -lrb- 2001 -rrb- and `` devdas '' -lrb- 2002 -rrb- .
in 2002 , she took a sabbatical from films to raise her children and made a comeback with the musical `` aaja nachle '' in 2007 , later starring in the 2014 dramas `` dedh ishqiya '' and `` gulaab gang '' .
in addition to acting in films , dixit has featured as a talent judge for four seasons of the dance reality show `` jhalak dikhhla jaa '' .
she has participated in several stage shows and has engaged in philanthropic activities .
in 2014 she was appointed the unicef goodwill ambassador in india .
she is married to the doctor shriram madhav nene , with whom she has two children .
she also appeared in `` superwoman '' 's youtube video , '' `` what bollywood has taught me '' '' .
"
161,Ellnor Grassby,Ellnor Grassby,politician,australian,1937,1937,14,"ellnor judith grassby , `` née '' louez -lrb- born 14 january 1937 -rrb- , a former australian politician , was a member of the multi-member single constituency unicameral australian capital territory legislative assembly , representing the australian labor party between 1989 and 1995 .
grassby served as minister for housing and urban services in the first follett ministry .
"
162,Ronald P. Mclaughlin,Ronald P. Mclaughlin,"railway engineer , labor leader",american,1929,1929,6,"ronald p. mclaughlin -lrb- born 13 november 1929 -rrb- is a former leader of the brotherhood of locomotive engineers -lrb- ble -rrb- , a railway workers ' union in the united states .
he was international president from 1991 to 1996 .
"
163,Mohammed Nizamul Huq Nassim,Mohammed Nizamul Huq,judge,bangladeshi,1950,1950,46,"mohammed nizamul huq nassim -lrb- born 15 march 1950 -rrb- , -lrb- anglicized also as : nizamul haque nasim or as nizamul haque nizam -rrb- is a judge of the high court division of the supreme court of bangladesh .
he chaired the panel of three judges that presided over the bangladesh international crimes tribunal until his resignation on 11 december 2012 .
"
164,Ziggy Rozalski,Ziggy Rozalski,"boxing promoter , manager",polish-american,1958,1958,5,"ziggy rozalski -lrb- born 1958 -rrb- is a polish american boxing manager and promoter .
he represents polish boxers andrzej gołota and tomasz adamek .
he is a godfather of tomasz adamek .
"
165,Jean-Yves Blondeau,Jean-Yves Blondeau,designer,french,1970,1970,12,"jean-yves blondeau -lrb- born june 1 , 1970 , aix-les-bains -rrb- , also known as `` rollerman '' , is a french designer who is best known for inventing the 32-wheel roller suit .
"
166,Leo Wolman,Leo Wolman,economist,polish american,1890,1890,133,"leo wolman -lrb- february 24 , 1890 -- october 2 , 1961 -rrb- was a noted american economist whose work focused on labor economics .
he also served on a number of important boards and commissions for the federal government .
"
167,Sara Gran,Sara Gran,author,american,1971,1971,12,"sara gran -lrb- born 1971 -rrb- is an american author .
"
168,Vinnie Politan,Vinnie Politan,"television anchor and host attorney , television legal analyst",american,1975,1965,8,"vincent politan is a former attorney and journalist who co-created and hosted `` after dark '' on hln .
he previously anchored `` prime news with vinnie politan '' on hln and hln special report .
he co-anchors `` in session '' on the cable network trutv .
he previously co-anchored `` bloom & politan : open court '' alongside lisa bloom , and `` both sides '' with kimberly guilfoyle .
cases covered by politan include jodi arias , trayvon martin , casey anthony , dr. conrad murray , the murder trial of michael skakel , michael jackson , the sean `` puffy '' combs case , the zacarias moussaoui trial , the scott peterson murder trial , and the kobe bryant rape case since joining court tv in january 2001 .
additionally , politan hosted the morning radio show `` me and vinnie '' on sirius xm radio 's stars too station .
politan remained at hln until 2014
"
169,Jun Maeda,Jun Maeda,"author , composer , lyricist , manga author",japanese,1975,1975,30,"maeda 's birth name in kanji was written as , though there is no change in pronunciation .
originally from mie , japan , he graduated from mie high school and later went on to graduate from chukyo university with a major in psychology .
before forming key , maeda worked for the company tactics where he had a hand in the creation of two games for that company , `` moon . ''
and '' '' .
after forming key , maeda has put much work into such titles as `` kanon '' , `` air '' , `` clannad '' , `` little busters ! ''
, `` angel beats ! ''
and `` charlotte '' .
he is also the author of a manga series titled `` hibiki 's magic '' .
"
