,Unnamed: 0,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1,GPT 4 Response Prompt1
455,455,Ronald Neame,Ronald Neame,"director , cinematographer , producer , screenwriter",british,1911.0,1911,12,"Ronald Neame was a british director , cinematographer , producer , screenwriter. When was Ronald Neame born?","Paul Mangwana was born on August 10, 1961."
456,456,Ezzat El Kamhawi,Ezzat el Kamhawi,novelist,egypt,1961.0,1961,19,Ezzat El Kamhawi was a egypt novelist. When was Ezzat El Kamhawi born?,"Salim Khan was born on November 24, 1935."
457,457,David Day,David Day (historian),"academic , historian , and author",australian,1949.0,1949,4,"David Day was a australian academic , historian , and author. When was David Day born?","August Košutić was born on August 20, 1872."
458,458,Franz Müntefering,Franz Müntefering,"industrial manager , politician",german germany,1940.0,1940,19,"Franz Müntefering was a german germany industrial manager , politician. When was Franz Müntefering born?","Anthony Julian was born on January 29, 1902."
459,459,Heather Roy,Heather Roy,"physiotherapist reserve , member of parliament , new zealand army",new zealand,1964.0,1964,12,"Heather Roy was a new zealand physiotherapist reserve , member of parliament , new zealand army. When was Heather Roy born?","Gary Klein was born on February 5, 1944."
460,460,Marsha Sue Ivins,Marsha Ivins,engineer,american,1951.0,1951,8,Marsha Sue Ivins was a american engineer. When was Marsha Sue Ivins born?,"Ed Baird was born on March 17, 1958."
461,461,K. R. Meera,K. R. Meera,"novelist writer , columnist , short story writer , journalist , screenplay",indian,1970.0,1970,23,"K. R. Meera was a indian novelist writer , columnist , short story writer , journalist , screenplay. When was K. R. Meera born?","Thomas Jefferson Anderson was born on August 9, 1910."
462,462,John Le Carré,John le Carré,"novelist , former intelligence officer",british,1931.0,1931,128,"John Le Carré was a british novelist , former intelligence officer. When was John Le Carré born?","Arthur Bourns was born on May 8, 1919."
463,463,Greg Kelly,Greg Kelly,"television personality/host , u.s. marine corps officer",american,1968.0,1968,13,"Greg Kelly was a american television personality/host , u.s. marine corps officer. When was Greg Kelly born?","Viktor Medvedchuk was born on August 7, 1954."
464,464,Norman J. Grossfeld,Norman J. Grossfeld,"television former president of 4kids productions ; former executive vice president executive of television animation for legendary entertainment , director , producer and writer ;",american,1963.0,1963,49,"Norman J. Grossfeld was a american television former president of 4kids productions ; former executive vice president executive of television animation for legendary entertainment , director , producer and writer ;. When was Norman J. Grossfeld born?","Stevan Mokranjac was born on January 9, 1856."
465,465,Jose Solorio,Jose Solorio,public relations,american,1970.0,1970,1,Jose Solorio was a american public relations. When was Jose Solorio born?,"Ayaka Saitō was born on June 2, 1988."
466,466,Mark Akenside,Mark Akenside,"poet , physician",english,1721.0,1721,15,"Mark Akenside was a english poet , physician. When was Mark Akenside born?","Michael Shenstone was born on November 2, 1928."
467,467,Anatoly Yakovlevich Solovyev,Anatoly Solovyev,test pilot,russian,1948.0,1948,17,Anatoly Yakovlevich Solovyev was a russian test pilot. When was Anatoly Yakovlevich Solovyev born?,"George P. Mitchell was born on May 21, 1919."
468,468,Ted Moore,Ted Moore,"cinematographer , camera operator",british,1914.0,1914,1,"Ted Moore was a british cinematographer , camera operator. When was Ted Moore born?","Yank Barry was born on January 29, 1948."
469,469,Murder Of Mary Speir Gunn,Murder of Mary Speir Gunn,telephone operator,scottish,1862.0,1862,53,Murder Of Mary Speir Gunn was a scottish telephone operator. When was Murder Of Mary Speir Gunn born?,"Roberto Ivens was born on June 12, 1850."
470,470,Arturo Santana Alfaro,Arturo Santana Alfaro,politician,mexican,1971.0,1971,10,Arturo Santana Alfaro was a mexican politician. When was Arturo Santana Alfaro born?,"I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
471,471,Durga Shakti Nagpal -Lrb- दुर्गा शक्ति नागपाल -Rrb-,Durga Shakti Nagpal,bureaucrat,indian,1984.0,1985,128,Durga Shakti Nagpal -Lrb- दुर्गा शक्ति नागपाल -Rrb- was a indian bureaucrat. When was Durga Shakti Nagpal -Lrb- दुर्गा शक्ति नागपाल -Rrb- born?,"Zhu Jun was born on March 22, 1966."
472,472,William Langewiesche,William Langewiesche,"journalist , author , aviator",american,1955.0,1955,16,"William Langewiesche was a american journalist , author , aviator. When was William Langewiesche born?","Malcolm Todd was born on June 25, 1939."
473,473,Mahmoud Khayami,Mahmoud Khayami,businessman and philanthropist,iranian,1930.0,1930,1,Mahmoud Khayami was a iranian businessman and philanthropist. When was Mahmoud Khayami born?,"Rip Esselstyn was born on September 5, 1963."
474,474,Li Shijun Laŭlum,Li Shijun,"translator , author , editor",chinese,1923.0,1923,9,"Li Shijun Laŭlum was a chinese translator , author , editor. When was Li Shijun Laŭlum born?","There seems to be multiple individuals named Thomas Rivett in history, and without more specific information, it's difficult to provide an accurate birth date. Please provide more details."
475,475,Leon Narbey,Leon Narbey,cinematographer,new zealand,1947.0,1947,4,Leon Narbey was a new zealand cinematographer. When was Leon Narbey born?,"Paul Mangwana was born on August 10, 1961."
476,476,José Francisco Landero,José Francisco Landero,politician,mexican,1971.0,1971,1,José Francisco Landero was a mexican politician. When was José Francisco Landero born?,"Salim Khan was born on November 24, 1935."
477,477,Bernard Gay Marshall,Bernard Marshall,"writer , editor",american,1875.0,1875,33,"Bernard Gay Marshall was a american writer , editor. When was Bernard Gay Marshall born?",August Košutić was born on 20 August 1872.
478,478,Jonathan Ames,Jonathan Ames,novelist,american,1964.0,1964,14,Jonathan Ames was a american novelist. When was Jonathan Ames born?,"Anthony Julian was born on January 30, 1902."
479,479,Khaled Mohieddine,Khaled Mohieddin,chief secretary of asu press committee -lrb- 1964 -- 65 -rrb- editor head of npup -lrb- 1976 -- -rrb- of al-masa -lrb- 1956 -- 59 -rrb-,egyptian,1922.0,1922,48,Khaled Mohieddine was a egyptian chief secretary of asu press committee -lrb- 1964 -- 65 -rrb- editor head of npup -lrb- 1976 -- -rrb- of al-masa -lrb- 1956 -- 59 -rrb-. When was Khaled Mohieddine born?,"Gary Klein was born on February 5, 1944."
480,480,Gustave Gilbert,Gustave Gilbert,psychologist,us,1911.0,1911,9,Gustave Gilbert was a us psychologist. When was Gustave Gilbert born?,"Ed Baird was born on March 17, 1958."
481,481,August Wilhelmj,August Wilhelmj,violinist,german,1845.0,1845,10,August Wilhelmj was a german violinist. When was August Wilhelmj born?,"Thomas Jefferson Anderson was born on August 9, 1910."
482,482,Paula Vogel,Paula Vogel,"playwright , professor",united states,1951.0,1951,47,"Paula Vogel was a united states playwright , professor. When was Paula Vogel born?","Arthur Bourns was born on May 8, 1919."
483,483,Adam Zeis,Adam Zeis,"managing editor , connectedly.com",american,1978.0,1978,6,"Adam Zeis was a american managing editor , connectedly.com. When was Adam Zeis born?","Viktor Medvedchuk was born on August 7, 1954."
484,484,Sofie Gråbøl,Sofie Gråbøl,actor,danish,1968.0,1968,36,Sofie Gråbøl was a danish actor. When was Sofie Gråbøl born?,"Stevan Mokranjac was born on January 9, 1856."
485,485,José Manuel Carrillo Rubio,José Manuel Carrillo Rubio,politician,mexican,1975.0,1975,1,José Manuel Carrillo Rubio was a mexican politician. When was José Manuel Carrillo Rubio born?,"Ayaka Saitō was born on June 2, 1988."
486,486,Bryan Stanley Turner,Bryan Turner (sociologist),"presidential on religion -lrb- cuny -rrb- ; director of the institute professor for religion , politics and society at the australian catholic of university . sociology and director of the committee",british and australian -lrb- dual citizen -rrb-,1945.0,1945,15,"Bryan Stanley Turner was a british and australian -lrb- dual citizen -rrb- presidential on religion -lrb- cuny -rrb- ; director of the institute professor for religion , politics and society at the australian catholic of university . sociology and director of the committee. When was Bryan Stanley Turner born?","Michael Shenstone was born on November 2, 1928."
487,487,Jim Cairns,Jim Cairns,"policeman , lecturer",australian,1914.0,1914,36,"Jim Cairns was a australian policeman , lecturer. When was Jim Cairns born?","George P. Mitchell was born on May 21, 1919."
488,488,Cecilia Soledad Arévalo,Cecilia Soledad Arévalo,politician,mexican,1968.0,1968,1,Cecilia Soledad Arévalo was a mexican politician. When was Cecilia Soledad Arévalo born?,"Yank Barry was born on January 29, 1948."
489,489,Michael Flatley,Michael Flatley,"dancer flautist , choreographer , actor , occasional broadcaster , writer ,",irish-american,1958.0,1958,111,"Michael Flatley was a irish-american dancer flautist , choreographer , actor , occasional broadcaster , writer ,. When was Michael Flatley born?","Roberto Ivens was born on June 12, 1850."
490,490,Sergei Gavrilovich Simonov Сергей Гаврилович Симонов,Sergei Gavrilovich Simonov,small arms designer,russian,1894.0,1894,0,Sergei Gavrilovich Simonov Сергей Гаврилович Симонов was a russian small arms designer. When was Sergei Gavrilovich Simonov Сергей Гаврилович Симонов born?,"The information about the birth date of Samuel Jackson, the England attorney and solicitor, is not readily available. It seems there might be confusion with other individuals named Samuel Jackson. Could you provide more specific details?"
491,491,Marian Finucane,Marian Finucane,broadcaster,irish,1950.0,1950,22,Marian Finucane was a irish broadcaster. When was Marian Finucane born?,"Zhu Jun was born on March 22, 1966."
492,492,Jim Williams,Jim Williams (analog Designer),electronics engineer,american,1948.0,1948,5,Jim Williams was a american electronics engineer. When was Jim Williams born?,"Malcolm Todd was born on June 25, 1939."
493,493,George Henry Murray,George Henry Murray,"teacher , lawyer",canadian,1861.0,1861,13,"George Henry Murray was a canadian teacher , lawyer. When was George Henry Murray born?","Rip Esselstyn was born on September 5, 1963."
494,494,Homai Vyarawalla,Homai Vyarawalla,photojournalist,indian,1913.0,1913,30,Homai Vyarawalla was a indian photojournalist. When was Homai Vyarawalla born?,"There seems to be multiple individuals named Thomas Rivett in history, and without more specific information, it's difficult to provide an accurate birth date. Could you please provide more details?"
495,495,Dasari Subrahmanyam,Dasari Subrahmanyam,"story writer , children 's literature writer , novelist",indian,1932.0,1922,0,"Dasari Subrahmanyam was a indian story writer , children 's literature writer , novelist. When was Dasari Subrahmanyam born?","Paul Mangwana was born on August 10, 1961."
496,496,Hart Crane,Hart Crane,poet,american,1899.0,1899,56,Hart Crane was a american poet. When was Hart Crane born?,"Salim Khan was born on November 24, 1935."
497,497,George Martin,George Martin (american Actor),actor,american,1929.0,1929,0,George Martin was a american actor. When was George Martin born?,"August Košutić was born on August 20, 1872."
498,498,Sir Hugh Orde,Hugh Orde,president of acpo,british,1958.0,1958,4,Sir Hugh Orde was a british president of acpo. When was Sir Hugh Orde born?,"Anthony Julian was born on January 29, 1902."
499,499,Jason Brilz,Jason Brilz,firefighter,american,1975.0,1975,15,Jason Brilz was a american firefighter. When was Jason Brilz born?,"Gary Klein was born on February 5, 1944."
500,500,Claude Lanzmann,Claude Lanzmann,filmmaker,french,1925.0,1925,23,Claude Lanzmann was a french filmmaker. When was Claude Lanzmann born?,"Ed Baird was born on March 17, 1958."
501,501,David Soknacki,David Soknacki,business owner,canadian,1954.0,1954,19,David Soknacki was a canadian business owner. When was David Soknacki born?,"Thomas Jefferson Anderson was born on August 9, 1910."
502,502,Ethan Gilsdorf,Ethan Gilsdorf,"freelance geek writer , teacher , poet , author ,",american,1966.0,1966,47,"Ethan Gilsdorf was a american freelance geek writer , teacher , poet , author ,. When was Ethan Gilsdorf born?","Arthur Bourns was born on May 8, 1919."
503,503,André Téchiné,André Téchiné,filmmaker,french,1943.0,1943,29,André Téchiné was a french filmmaker. When was André Téchiné born?,"Viktor Medvedchuk was born on August 7, 1954."
504,504,Robert Osborne,Robert Osborne,tcm host,american,1932.0,1932,54,Robert Osborne was a american tcm host. When was Robert Osborne born?,"Stevan Mokranjac was born on January 9, 1856."
505,505,William Temple Thomson Mason,William Temple Thomson Mason,"planter , businessperson",american,1782.0,1782,48,"William Temple Thomson Mason was a american planter , businessperson. When was William Temple Thomson Mason born?","Ayaka Saitō was born on June 2, 1988."
506,506,Wilhelm Voigt,Wilhelm Voigt,shoemaker,german,1849.0,1849,3,Wilhelm Voigt was a german shoemaker. When was Wilhelm Voigt born?,"Michael Shenstone was born on November 2, 1928."
507,507,Kim Stanley Robinson,Kim Stanley Robinson,writer,american,1952.0,1952,59,Kim Stanley Robinson was a american writer. When was Kim Stanley Robinson born?,"George P. Mitchell was born on May 21, 1919."
508,508,Harry Luman Russell,Harry Luman Russell,"bacteriologist , educator",united states of america,1866.0,1866,23,"Harry Luman Russell was a united states of america bacteriologist , educator. When was Harry Luman Russell born?","Yank Barry was born on January 29, 1948."
509,509,Leigh A. Wiener,Leigh Wiener,"photographer , photojournalist",american,1929.0,1929,10,"Leigh A. Wiener was a american photographer , photojournalist. When was Leigh A. Wiener born?","Roberto Ivens was born on June 12, 1850."
510,510,Francis James Sumner,Francis Sumner (mayor),wren nest mill owner in glossop,british,1807.0,1807,14,Francis James Sumner was a british wren nest mill owner in glossop. When was Francis James Sumner born?,"I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
511,511,Kyle Jarrow,Kyle Jarrow,"writer , musician",american,1979.0,1979,15,"Kyle Jarrow was a american writer , musician. When was Kyle Jarrow born?","Zhu Jun was born on March 22, 1966."
512,512,Šime Budinić,Šime Budinić,"catholic priest , writer",venetian,1530.0,1530,50,"Šime Budinić was a venetian catholic priest , writer. When was Šime Budinić born?","Malcolm Todd was born on June 25, 1939."
513,513,Paolo A. Nespoli,Paolo Nespoli,italian army,italian,1957.0,1957,18,Paolo A. Nespoli was a italian italian army. When was Paolo A. Nespoli born?,"Rip Esselstyn was born on September 5, 1963."
514,514,Amy Holden Jones,Amy Holden Jones,"film producer executive producer/creator television editor , screenwriter , film director , film",united states,1955.0,1955,22,"Amy Holden Jones was a united states film producer executive producer/creator television editor , screenwriter , film director , film. When was Amy Holden Jones born?","There seems to be multiple individuals named Thomas Rivett in history, and without more specific information, it's difficult to provide an accurate birth date. Please provide more details."
515,515,Keith Larsen,Keith Larsen,actor,american,1924.0,1924,18,Keith Larsen was a american actor. When was Keith Larsen born?,"Paul Mangwana was born on August 10, 1961."
516,516,Amber Rose Revah,Amber Rose Revah,actress,english,1986.0,1986,0,Amber Rose Revah was a english actress. When was Amber Rose Revah born?,"Salim Khan was born on November 24, 1935."
517,517,Anne-Cath . Vestly,Anne-Cath Vestly,children 's book author,norwegian,1920.0,1920,0,Anne-Cath . Vestly was a norwegian children 's book author. When was Anne-Cath . Vestly born?,"August Košutić was born on August 20, 1872."
518,518,William Gooderham,"William Gooderham, Sr.","distiller , businessman , and banker",canadian,1790.0,1790,0,"William Gooderham was a canadian distiller , businessman , and banker. When was William Gooderham born?","Anthony Julian was born on January 29, 1902."
519,519,Jon Harris,Jon Harris (director),"film editor , film director",british,1967.0,1967,0,"Jon Harris was a british film editor , film director. When was Jon Harris born?","Gary Klein was born on February 5, 1944."
520,520,Louis Svećenski,Louis Svećenski,"violist , violinists",croat,1862.0,1862,17,"Louis Svećenski was a croat violist , violinists. When was Louis Svećenski born?","Ed Baird was born on March 17, 1958."
521,521,Raymundo Gómez Flores,Raymundo Gómez Flores,politician,mexican,1952.0,1952,1,Raymundo Gómez Flores was a mexican politician. When was Raymundo Gómez Flores born?,"Thomas Jefferson Anderson was born on August 9, 1910."
522,522,Bagley Wright,Bagley Wright,philanthropist,american,1924.0,1924,15,Bagley Wright was a american philanthropist. When was Bagley Wright born?,"Arthur Bourns was born on November 8, 1919."
523,523,Rick Day,Rick Day,photographer,american,1962.0,1962,14,Rick Day was a american photographer. When was Rick Day born?,"Viktor Medvedchuk was born on August 7, 1954."
524,524,Ronald Milner,Ron Milner,playwright,usa american,1938.0,1938,11,Ronald Milner was a usa american playwright. When was Ronald Milner born?,"Stevan Mokranjac was born on January 9, 1856."
525,525,Pierre Jonckheer,Pierre Jonckheer,"politician , economist",belgium,1951.0,1951,3,"Pierre Jonckheer was a belgium politician , economist. When was Pierre Jonckheer born?","Ayaka Saitō was born on June 2, 1988."
526,526,Birendra Krishna Bhadra বীরেন্দ্রকৃষ্ণ ভদ্র,Birendra Krishna Bhadra,"broadcaster , playwright , actor , theatre director",indian,1905.0,1905,12,"Birendra Krishna Bhadra বীরেন্দ্রকৃষ্ণ ভদ্র was a indian broadcaster , playwright , actor , theatre director. When was Birendra Krishna Bhadra বীরেন্দ্রকৃষ্ণ ভদ্র born?","Michael Shenstone was born on November 2, 1928."
527,527,Isabel Paterson,Isabel Paterson,"novelist , journalist , philosopher , literary critic",canadian/american,1886.0,1886,22,"Isabel Paterson was a canadian/american novelist , journalist , philosopher , literary critic. When was Isabel Paterson born?","George P. Mitchell was born on May 21, 1919."
528,528,Solveig Horne,Solveig Horne,politician,norwegian,1969.0,1969,15,Solveig Horne was a norwegian politician. When was Solveig Horne born?,"Yank Barry was born on January 29, 1948."
529,529,John Ilhan,John Ilhan,owner of crazy john 's,turkish,1965.0,1965,16,John Ilhan was a turkish owner of crazy john 's. When was John Ilhan born?,"Roberto Ivens was born on June 12, 1850."
530,530,Pedro Pablo Cepeda Sierra,Pedro Pablo Cepeda Sierra,politician,mexican,1966.0,1966,1,Pedro Pablo Cepeda Sierra was a mexican politician. When was Pedro Pablo Cepeda Sierra born?,"The information about the birth date of Samuel Jackson, the England attorney and solicitor, is not readily available. It seems there might be confusion with the famous American actor Samuel L. Jackson. Could you provide more specific details?"
531,531,Artin Poturlyan,Artin Poturlyan,composer,bulgarian,1943.0,1943,0,Artin Poturlyan was a bulgarian composer. When was Artin Poturlyan born?,"Zhu Jun was born on March 22, 1966."
532,532,Anurag Anand,Anurag Anand,"novelist , author , banker , marketer",indian,1978.0,1978,42,"Anurag Anand was a indian novelist , author , banker , marketer. When was Anurag Anand born?","Malcolm Todd was born on June 25, 1939."
533,533,Mohan Chopra,Mohan Chopra,intellectual and author,punjabi,1921.0,1921,18,Mohan Chopra was a punjabi intellectual and author. When was Mohan Chopra born?,"Rip Esselstyn was born on September 5, 1963."
534,534,Joe S. Jackson,Joe S. Jackson,sportswriter,american,1871.0,1871,20,Joe S. Jackson was a american sportswriter. When was Joe S. Jackson born?,"There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
535,535,Gabriela Zapolska,Gabriela Zapolska,"novelist , publicist , playwright , prosaist",polish,1857.0,1857,12,"Gabriela Zapolska was a polish novelist , publicist , playwright , prosaist. When was Gabriela Zapolska born?","Paul Mangwana was born on August 10, 1961."
536,536,Edmund Gwenn,Edmund Gwenn,actor,british,1877.0,1877,42,Edmund Gwenn was a british actor. When was Edmund Gwenn born?,"Salim Khan was born on November 24, 1935."
537,537,Dagfinn Aarskog,Dagfinn Aarskog,physician,norwegian,1928.0,1928,2,Dagfinn Aarskog was a norwegian physician. When was Dagfinn Aarskog born?,"August Košutić was born on August 4, 1906."
538,538,David Avison,David Avison,photographer and physicist,american,1937.0,1937,6,David Avison was a american photographer and physicist. When was David Avison born?,"Anthony Julian was born on January 29, 1902."
539,539,Bridget Kendall,Bridget Kendall,journalist,british,1956.0,1956,17,Bridget Kendall was a british journalist. When was Bridget Kendall born?,"Gary Klein was born on February 5, 1944."
540,540,William Lennon,William Lennon,"company director , business manager , clerk",irish australian,1849.0,1849,20,"William Lennon was a irish australian company director , business manager , clerk. When was William Lennon born?","Ed Baird was born on March 17, 1958."
541,541,Toshio Fujiwara,Toshio Fujiwara,president martialarts directors of toshio fujiwara sports gym president of japan,jpn japanese,1948.0,1948,9,Toshio Fujiwara was a jpn japanese president martialarts directors of toshio fujiwara sports gym president of japan. When was Toshio Fujiwara born?,"Thomas Jefferson Anderson was born on August 9, 1910."
542,542,Joseph E. Hasten,Joseph E. Hasten,business executive,american,1952.0,1952,12,Joseph E. Hasten was a american business executive. When was Joseph E. Hasten born?,"Arthur Bourns was born on May 8, 1919."
543,543,Stephanie Sinclair,Stephanie Sinclair,photojournalist,american,1973.0,1973,21,Stephanie Sinclair was a american photojournalist. When was Stephanie Sinclair born?,"Viktor Medvedchuk was born on August 7, 1954."
544,544,Ricardo López Pescador,Ricardo López Pescador,politician,mexican,1964.0,1964,1,Ricardo López Pescador was a mexican politician. When was Ricardo López Pescador born?,"Stevan Mokranjac was born on January 9, 1856."
545,545,Peter N. Stearns,Peter Stearns,professor,american,1936.0,1936,3,Peter N. Stearns was a american professor. When was Peter N. Stearns born?,"Ayaka Saitō was born on June 2, 1988."
546,546,G. D. Spradlin,G. D. Spradlin,actor,american,1920.0,1920,13,G. D. Spradlin was a american actor. When was G. D. Spradlin born?,"Michael Shenstone was born on November 2, 1928."
547,547,Thorvald Steen,Thorvald Steen,"author , novelist",norwegian,1954.0,1954,0,"Thorvald Steen was a norwegian author , novelist. When was Thorvald Steen born?","George P. Mitchell was born on May 21, 1919."
548,548,Ronald Meyer,Ronald Meyer,agent,american,1944.0,1944,31,Ronald Meyer was a american agent. When was Ronald Meyer born?,"Yank Barry was born on January 29, 1948."
549,549,Branko Benzon,Branko Benzon,"diplomat , politician",croat,1903.0,1903,4,"Branko Benzon was a croat diplomat , politician. When was Branko Benzon born?","Roberto Ivens was born on June 12, 1850."
550,550,John Abel,John Abel (politician),accountant,australian,1939.0,1939,4,John Abel was a australian accountant. When was John Abel born?,"I'm sorry, but I couldn't find any information on an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
551,551,Mari Hoshino,Mari Hoshino,"actor , singer",japanese,1981.0,1981,16,"Mari Hoshino was a japanese actor , singer. When was Mari Hoshino born?","Zhu Jun was born on March 22, 1966."
552,552,Carole Wilkinson,Carole Wilkinson,author,english,1950.0,1950,4,Carole Wilkinson was a english author. When was Carole Wilkinson born?,"Malcolm Todd was born on June 25, 1939."
553,553,Stanley A. Dashew,Stanley Dashew,"entrepreneur , inventor , industrialist , photojournalist",american,1916.0,1916,16,"Stanley A. Dashew was a american entrepreneur , inventor , industrialist , photojournalist. When was Stanley A. Dashew born?","Rip Esselstyn was born on September 5, 1963."
554,554,Andrzej Tadeusz Kijowski,Andrzej Tadeusz Kijowski,"director , poet , author , political activist",poland,1954.0,1954,1,"Andrzej Tadeusz Kijowski was a poland director , poet , author , political activist. When was Andrzej Tadeusz Kijowski born?","There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
555,555,Curme Gray,Curme Gray,novelist,united states,1910.0,1910,0,Curme Gray was a united states novelist. When was Curme Gray born?,"Paul Mangwana was born on August 10, 1961."
556,556,Sun Myung Moon,Sun Myung Moon,"religious activist leader , businessperson , media mogul , political",korean,1920.0,1920,256,"Sun Myung Moon was a korean religious activist leader , businessperson , media mogul , political. When was Sun Myung Moon born?","Salim Khan was born on November 24, 1935."
557,557,Maurice Lefèvre,Maurice Lefèvre,"poet , playwright and songwriter",belgian,1863.0,1863,8,"Maurice Lefèvre was a belgian poet , playwright and songwriter. When was Maurice Lefèvre born?","August Košutić was born on August 20, 1872."
558,558,Sergio Lobato García,Sergio Lobato García,politician,mexican,1955.0,1955,4,Sergio Lobato García was a mexican politician. When was Sergio Lobato García born?,"Anthony Julian was born on January 29, 1902."
559,559,James Hambro,James Hambro,"banker , businessman , philanthropist",british,1949.0,1949,18,"James Hambro was a british banker , businessman , philanthropist. When was James Hambro born?","Gary Klein was born on February 5, 1944."
560,560,Joan Carreras I Goicoechea,Joan Carreras i Goicoechea,writer and journalist,catalonia,1962.0,1962,12,Joan Carreras I Goicoechea was a catalonia writer and journalist. When was Joan Carreras I Goicoechea born?,"Ed Baird was born on March 17, 1958."
561,561,Frank Bottrill,Frank Bottrill,"blacksmith , inventor",australian,1871.0,1871,35,"Frank Bottrill was a australian blacksmith , inventor. When was Frank Bottrill born?","Thomas Jefferson Anderson was born on August 9, 1910."
562,562,Siraj Wahhaj,Siraj Wahhaj,islamic scholar,american,1950.0,1950,20,Siraj Wahhaj was a american islamic scholar. When was Siraj Wahhaj born?,"Arthur Bourns was born on May 8, 1919."
563,563,Şamil Tayyar,Şamil Tayyar,"politician , journalist",turkish,1965.0,1965,2,"Şamil Tayyar was a turkish politician , journalist. When was Şamil Tayyar born?","Viktor Medvedchuk was born on August 7, 1954."
564,564,Zinthia Benavides,Zinthia Benavides,politician,mexican,1969.0,1969,1,Zinthia Benavides was a mexican politician. When was Zinthia Benavides born?,"Stevan Mokranjac was born on January 9, 1856."
565,565,Kanishtha Dhankar,Kanishtha Dhankar,model,indian,1988.0,1988,6,Kanishtha Dhankar was a indian model. When was Kanishtha Dhankar born?,"Ayaka Saitō was born on June 2, 1988."
566,566,Giedrė Beinoriūtė,Giedrė Beinoriūtė,filmmaker,lithuanian,1976.0,1976,7,Giedrė Beinoriūtė was a lithuanian filmmaker. When was Giedrė Beinoriūtė born?,"Michael Shenstone was born on November 2, 1928."
567,567,Alana Dante,Alana Dante,singer,belgium,1969.0,1969,2,Alana Dante was a belgium singer. When was Alana Dante born?,"George P. Mitchell was born on May 21, 1919."
568,568,Alasdair Milne,Alasdair Milne,television producer and controller,british,1930.0,1930,42,Alasdair Milne was a british television producer and controller. When was Alasdair Milne born?,"Yank Barry was born on January 29, 1948."
569,569,Karin Fossum,Karin Fossum,novelist,norwegian,1954.0,1954,7,Karin Fossum was a norwegian novelist. When was Karin Fossum born?,"Roberto Ivens was born on June 12, 1850."
570,570,Simpson Everett Stilwell,Simpson E. Stilwell,"u.s. army scout , lawman , judge",united states,1850.0,1850,37,"Simpson Everett Stilwell was a united states u.s. army scout , lawman , judge. When was Simpson Everett Stilwell born?","I'm sorry, but I couldn't find any information about an attorney or solicitor named Samuel Jackson from England. Could you provide more details?"
571,571,Laurent Sourisseau,Riss (cartoonist),"cartoonist , publishing director",french,1966.0,1966,5,"Laurent Sourisseau was a french cartoonist , publishing director. When was Laurent Sourisseau born?","Zhu Jun was born on March 22, 1966."
572,572,Mayra Gisela Peñuelas Acuña,Mayra Gisela Peñuelas Acuña,politician,mexican,1963.0,1963,1,Mayra Gisela Peñuelas Acuña was a mexican politician. When was Mayra Gisela Peñuelas Acuña born?,"Malcolm Todd was born on June 25, 1939."
573,573,Thomas Scholfield,Thomas Scholfield,farmer,australian,1894.0,1894,10,Thomas Scholfield was a australian farmer. When was Thomas Scholfield born?,"Rip Esselstyn was born on September 5, 1963."
574,574,Naga Munchetty,Naga Munchetty,"journalist , presenter ,",british,1975.0,1975,38,"Naga Munchetty was a british journalist , presenter ,. When was Naga Munchetty born?","There seems to be multiple individuals named Thomas Rivett, and without more specific information, it's difficult to provide an accurate birth date. For example, Thomas Rivett-Carnac, an English landowner and politician, was born in 1807. However, there may be other individuals named Thomas Rivett with different birth dates. Please provide more specific information."
575,575,Rindert Kromhout,Rindert Kromhout,author,dutch,1958.0,1958,2,Rindert Kromhout was a dutch author. When was Rindert Kromhout born?,"Paul Mangwana was born on August 10, 1961."
576,576,Ira North,Ira North,preacher,usa,1922.0,1922,2,Ira North was a usa preacher. When was Ira North born?,"Salim Khan was born on November 24, 1935."
577,577,K. J. Rao,K. J. Rao,civil servant -lrb- eci -rrb-,indian,1942.0,1942,6,K. J. Rao was a indian civil servant -lrb- eci -rrb-. When was K. J. Rao born?,"August Košutić was born on August 20, 1906."
578,578,Daisy Hernández Gaytán,Daisy Hernández Gaytán,politician,mexican,1983.0,1983,1,Daisy Hernández Gaytán was a mexican politician. When was Daisy Hernández Gaytán born?,"Anthony Julian was born on January 29, 1902."
579,579,Craig Federighi,Craig Federighi,svp of software engineering at apple inc,us,1970.0,1969,40,Craig Federighi was a us svp of software engineering at apple inc. When was Craig Federighi born?,"Gary Klein was born on February 5, 1944."
580,580,Warren Murphy,Warren Murphy,writer,american,1933.0,1933,14,Warren Murphy was a american writer. When was Warren Murphy born?,"Ed Baird was born on March 17, 1958."
