,name,search_query,occupation,nationality,birth_year,wikipedia_birth_year,citation,Prompt1
358,David Griggs,S. David Griggs,test pilot,american,1939,1939,2,David Griggs was a american test pilot. When was David Griggs born.
359,Harshit Saxena,Harshit Saxena,"music director , singer , film composer",indian,1985,1985,10,"Harshit Saxena was a indian music director , singer , film composer. When was Harshit Saxena born."
360,Mike Godwin,Mike Godwin,"attorney , author",american,1956,1956,42,"Mike Godwin was a american attorney , author. When was Mike Godwin born."
361,Allison Shreeve,Allison Shreeve,windsurfer,australian,1982,1982,2,Allison Shreeve was a australian windsurfer. When was Allison Shreeve born.
362,Liza Monroy,Liza Monroy,novelist,american,1979,1979,14,Liza Monroy was a american novelist. When was Liza Monroy born.
363,Melker Schörling,Melker Schörling,"founder , melker schorling ab",swedish,1947,1947,5,"Melker Schörling was a swedish founder , melker schorling ab. When was Melker Schörling born."
364,Michael Robertson,Michael Robertson (businessman),entrepreneur,american,1967,1967,30,Michael Robertson was a american entrepreneur. When was Michael Robertson born.
365,Liam Cunningham,Liam Cunningham,"actor , director , producer , electrician",irish,1961,1961,26,"Liam Cunningham was a irish actor , director , producer , electrician. When was Liam Cunningham born."
366,Glenn Lord,Glenn Lord,"agent , editor",united states,1931,1931,32,"Glenn Lord was a united states agent , editor. When was Glenn Lord born."
367,Cesare Merzagora,Cesare Merzagora,"banker , manager , politician",italian,1898,1898,10,"Cesare Merzagora was a italian banker , manager , politician. When was Cesare Merzagora born."
368,Jerzy Kryszak,Jerzy Kryszak,actor,polish,1950,1950,3,Jerzy Kryszak was a polish actor. When was Jerzy Kryszak born.
369,Scott English,Scott English,songwriter record producer,american,1943,1937,17,Scott English was a american songwriter record producer. When was Scott English born.
370,Atis Kronvalds,Atis Kronvalds,"writer , linguist and pedagogue",latvian,1837,1837,1,"Atis Kronvalds was a latvian writer , linguist and pedagogue. When was Atis Kronvalds born."
371,Saul Friedman,Saul Friedman,"political journalist , educator",american,1929,1929,10,"Saul Friedman was a american political journalist , educator. When was Saul Friedman born."
372,Robert Roberthin,Robert Roberthin,"geheimrat , poet",prussian,1600,1600,17,"Robert Roberthin was a prussian geheimrat , poet. When was Robert Roberthin born."
373,Modadugu Vijay Gupta,Modadugu Vijay Gupta,biologist,indian,1939,1939,5,Modadugu Vijay Gupta was a indian biologist. When was Modadugu Vijay Gupta born.
374,Yannick Bolloré,Yannick Bolloré,chairman and chief executive officer,french,1980,1980,4,Yannick Bolloré was a french chairman and chief executive officer. When was Yannick Bolloré born.
375,Henry Russell,Henry Russell (musician),composer,english,1812,1812,7,Henry Russell was a english composer. When was Henry Russell born.
376,Ulf G. Lindén,Ulf G. Lindén,entrepreneur,sweden,1937,1937,2,Ulf G. Lindén was a sweden entrepreneur. When was Ulf G. Lindén born.
377,Gotō Shōjirō,Gotō Shōjirō,"politician , cabinet minister",japanese,1838,1838,1,"Gotō Shōjirō was a japanese politician , cabinet minister. When was Gotō Shōjirō born."
378,Hiroshi Kashiwagi,Hiroshi Kashiwagi,author playwright poet actor,american,1922,1922,8,Hiroshi Kashiwagi was a american author playwright poet actor. When was Hiroshi Kashiwagi born.
379,Barry Edward Jackson,Barry E. Jackson,"production designer , author",american,1954,1954,3,"Barry Edward Jackson was a american production designer , author. When was Barry Edward Jackson born."
380,Siraj Wahhaj,Siraj Wahhaj,islamic scholar,american,1950,1950,20,Siraj Wahhaj was a american islamic scholar. When was Siraj Wahhaj born.
381,Reginald Blundell,Reginald Blundell,unionist,australian,1871,1871,6,Reginald Blundell was a australian unionist. When was Reginald Blundell born.
382,Richard Wynne,Richard Wynne,social worker,australian,1955,1955,14,Richard Wynne was a australian social worker. When was Richard Wynne born.
383,Lewis Pulsipher,Lewis Pulsipher,"game designer , author , retired college instructor",american,1951,1951,14,"Lewis Pulsipher was a american game designer , author , retired college instructor. When was Lewis Pulsipher born."
384,Howard Thurston,Howard Thurston,magician,american us,1869,1869,21,Howard Thurston was a american us magician. When was Howard Thurston born.
385,Charles Mcgrath,Charles Mcgrath,storekeeper,australian,1872,1872,9,Charles Mcgrath was a australian storekeeper. When was Charles Mcgrath born.
386,Eden Robinson,Eden Robinson,author,haisla/heiltsuk,1968,1968,16,Eden Robinson was a haisla/heiltsuk author. When was Eden Robinson born.
387,'' Reginald Fessenden '',Reginald Fessenden,inventor,canadian,1866,1866,80,'' Reginald Fessenden '' was a canadian inventor. When was '' Reginald Fessenden '' born.
388,Thomas Rivett,Thomas Rivett,landowner and politician,english,1679,1679,1,Thomas Rivett was a english landowner and politician. When was Thomas Rivett born.
389,Micheline Bernardini,Micheline Bernardini,model,french,1927,1927,10,Micheline Bernardini was a french model. When was Micheline Bernardini born.
390,Abdul Ghafoor Breshna,Abdul Ghafoor Breshna,"painter , music composer , poet , film director",afghan,1907,1907,7,"Abdul Ghafoor Breshna was a afghan painter , music composer , poet , film director. When was Abdul Ghafoor Breshna born."
391,Rebecca Hazelton,Rebecca Hazelton,poet,american,1978,1978,27,Rebecca Hazelton was a american poet. When was Rebecca Hazelton born.
392,Margarete Bagshaw,Margarete Bagshaw,artist,american,1964,1964,35,Margarete Bagshaw was a american artist. When was Margarete Bagshaw born.
393,José Luis Velasco,José Luis Velasco,politician,mexican,1963,1963,1,José Luis Velasco was a mexican politician. When was José Luis Velasco born.
394,Edward Land,Edward Land,"farmer , miner , manager",australian,1858,1858,2,"Edward Land was a australian farmer , miner , manager. When was Edward Land born."
395,Rajeev Khandelwal,Rajeev Khandelwal,"actor , tv presenter , model",indian,1975,1975,132,"Rajeev Khandelwal was a indian actor , tv presenter , model. When was Rajeev Khandelwal born."
396,Hardeep Singh Kohli,Hardeep Singh Kohli,broadcaster,scottish,1969,1969,42,Hardeep Singh Kohli was a scottish broadcaster. When was Hardeep Singh Kohli born.
397,Thomas Martin Easterly,Thomas Martin Easterly,daguerreotypist and photographer,american,1809,1809,5,Thomas Martin Easterly was a american daguerreotypist and photographer. When was Thomas Martin Easterly born.
398,General Gordon Baker Jr. .,General Baker,autoworker,american,1941,1941,15,General Gordon Baker Jr. . was a american autoworker. When was General Gordon Baker Jr. . born.
399,Chaudhry Muhammad Barjees Tahir چوھدری محمد برجیس طاہر,Chaudhry Muhammad Barjees Tahir,member of parliament,pakistani,1949,1948,0,Chaudhry Muhammad Barjees Tahir چوھدری محمد برجیس طاہر was a pakistani member of parliament. When was Chaudhry Muhammad Barjees Tahir چوھدری محمد برجیس طاہر born.
400,Don Dobie,Don Dobie,economist,scottish australian,1927,1927,12,Don Dobie was a scottish australian economist. When was Don Dobie born.
401,Masuda Takashi 益田 孝,Masuda Takashi,entrepreneur,japan,1848,1848,6,Masuda Takashi 益田 孝 was a japan entrepreneur. When was Masuda Takashi 益田 孝 born.
402,John Phillips,John Phillips (actor),actor,british,1914,1914,11,John Phillips was a british actor. When was John Phillips born.
403,Robert Rennie,Robert Rennie,"businessman , general , philatelist",canadian,1862,1862,9,"Robert Rennie was a canadian businessman , general , philatelist. When was Robert Rennie born."
404,Alberto Acereda,Alberto Acereda,"senior director , business development",american,1965,1965,4,"Alberto Acereda was a american senior director , business development. When was Alberto Acereda born."
405,Chand Nawab,Chand Nawab,journalist anchor,pakistani,1963,1963,1,Chand Nawab was a pakistani journalist anchor. When was Chand Nawab born.
406,Jason Wu,Jason Wu,fashion designer,taiwan taiwan canada canada -lrb- multiple citizenship -rrb-,1982,1982,24,Jason Wu was a taiwan taiwan canada canada -lrb- multiple citizenship -rrb- fashion designer. When was Jason Wu born.
407,Dianne Mcintyre,Dianne Mcintyre,"dancer , teacher , choreographer",united states,1946,1946,51,"Dianne Mcintyre was a united states dancer , teacher , choreographer. When was Dianne Mcintyre born."
408,Myra Keen,Myra Keen,invertebrate paleontologist malacologist,american,1905,1905,30,Myra Keen was a american invertebrate paleontologist malacologist. When was Myra Keen born.
409,Phan Thi Bich Hang,Phan Thi Bich Hang,"psychic chay -rrb- , spiritual activist , anti-abortion advocate expert , vegan restaurant chain manager -lrb- việt",vietnam,1972,1972,4,"Phan Thi Bich Hang was a vietnam psychic chay -rrb- , spiritual activist , anti-abortion advocate expert , vegan restaurant chain manager -lrb- việt. When was Phan Thi Bich Hang born."
410,Jessa Gamble,Jessa Gamble,"author , journalist","canadian , english",1979,1979,27,"Jessa Gamble was a canadian , english author , journalist. When was Jessa Gamble born."
411,Bernard E. Rollin,Bernard Rollin,professor biomedical sciences colorado state university of philosophy professor of animal sciences professor of,american,1943,1943,15,Bernard E. Rollin was a american professor biomedical sciences colorado state university of philosophy professor of animal sciences professor of. When was Bernard E. Rollin born.
412,Abram Edward Fitkin,Abram Fitkin,investment banker and philanthropist,american,1878,1878,458,Abram Edward Fitkin was a american investment banker and philanthropist. When was Abram Edward Fitkin born.
413,Christian Mckay,Christian Mckay,actor,british,1973,1973,21,Christian Mckay was a british actor. When was Christian Mckay born.
414,Sir Eric Harrison,Eric Harrison,soldier,australian,1892,1892,9,Sir Eric Harrison was a australian soldier. When was Sir Eric Harrison born.
415,Dodie Smith,Dodie Smith,"novelist , playwright",british,1896,1896,26,"Dodie Smith was a british novelist , playwright. When was Dodie Smith born."
416,Theodore G. Paraskevakos,Theodore Paraskevakos,"inventor , businessman",usa,1937,1937,11,"Theodore G. Paraskevakos was a usa inventor , businessman. When was Theodore G. Paraskevakos born."
417,João Duarte De Sousa,João Duarte de Sousa,"administrator , secretary",portuguese,1862,1862,0,"João Duarte De Sousa was a portuguese administrator , secretary. When was João Duarte De Sousa born."
418,Lauren Moss,Lauren Moss,mental health advocate,australian,1987,1987,6,Lauren Moss was a australian mental health advocate. When was Lauren Moss born.
419,Geoff Hall,Geoff Hall (politician),teacher politician,american,1948,1948,2,Geoff Hall was a american teacher politician. When was Geoff Hall born.
420,Chandra Fernando,Chandra Fernando (priest),priest,sri lankan,1942,1942,8,Chandra Fernando was a sri lankan priest. When was Chandra Fernando born.
421,Alfred William Hunt,Alfred William Hunt,landscape painter,united kingdom,1830,1830,3,Alfred William Hunt was a united kingdom landscape painter. When was Alfred William Hunt born.
422,Joe Bob Briggs,Joe Bob Briggs,"film critic , writer , actor",american,1953,1953,63,"Joe Bob Briggs was a american film critic , writer , actor. When was Joe Bob Briggs born."
423,William Todd Tribell,William Todd Tribell,"entrepreneur , author",american,1968,1968,16,"William Todd Tribell was a american entrepreneur , author. When was William Todd Tribell born."
424,Greg Aghazarian,Greg Aghazarian,lawyer,american,1964,1964,5,Greg Aghazarian was a american lawyer. When was Greg Aghazarian born.
425,Semavi Eyice,Semavi Eyice,academic,turkish,1923,1922,33,Semavi Eyice was a turkish academic. When was Semavi Eyice born.
426,Michael Douglas Griffin,Michael D. Griffin,"physicist , aerospace engineer",american,1949,1949,61,"Michael Douglas Griffin was a american physicist , aerospace engineer. When was Michael Douglas Griffin born."
427,Jose Maria Panganiban,José María Panganiban,"writer , journalist",philippines filipino,1863,1863,5,"Jose Maria Panganiban was a philippines filipino writer , journalist. When was Jose Maria Panganiban born."
428,Harry S. Ashmore,Harry Ashmore,journalist,american,1916,1916,14,Harry S. Ashmore was a american journalist. When was Harry S. Ashmore born.
429,Ena Von Baer,Ena von Baer,"journalist , political scientist , politician",chilean,1974,1974,6,"Ena Von Baer was a chilean journalist , political scientist , politician. When was Ena Von Baer born."
430,Al Mahmud আল মাহমুদ,Al Mahmud,"poet , journalist",bangladeshi,1936,1936,15,"Al Mahmud আল মাহমুদ was a bangladeshi poet , journalist. When was Al Mahmud আল মাহমুদ born."
431,Ling Tan,Ling Tan,fashion model,malaysian,1974,1974,42,Ling Tan was a malaysian fashion model. When was Ling Tan born.
432,The Lord Avebury,"Eric Lubbock, 4th Baron Avebury",politician,uk british,1928,1928,34,The Lord Avebury was a uk british politician. When was The Lord Avebury born.
433,Laurence Danon,Laurence Danon,"director advisor at natixis partners , non-executive director at diageo plc of since 2006 ; non-executive director and chairman of audit committee cordial tf1 since 2010 investment & consulting ltd , senior",french,1956,1956,6,"Laurence Danon was a french director advisor at natixis partners , non-executive director at diageo plc of since 2006 ; non-executive director and chairman of audit committee cordial tf1 since 2010 investment & consulting ltd , senior. When was Laurence Danon born."
434,Paul Carey,Paul Carey (broadcaster),sportscaster,american,1928,1928,1,Paul Carey was a american sportscaster. When was Paul Carey born.
435,Ben Molar,Ben Molar,"author , composer , musical producer , talent scout",argentine,1915,1915,25,"Ben Molar was a argentine author , composer , musical producer , talent scout. When was Ben Molar born."
436,Elsa Conde Rodríguez,Elsa Conde Rodríguez,politician,mexican,1962,1962,1,Elsa Conde Rodríguez was a mexican politician. When was Elsa Conde Rodríguez born.
437,José Manuel Marroquín,José Manuel Marroquín,"farmer politician -lrb- planter -rrb- , writer , educator ,",colombian,1827,1827,13,"José Manuel Marroquín was a colombian farmer politician -lrb- planter -rrb- , writer , educator ,. When was José Manuel Marroquín born."
438,Andrija Štampar,Andrija Štampar,physician,croatian,1888,1888,12,Andrija Štampar was a croatian physician. When was Andrija Štampar born.
439,Henry O. Havemeyer,Henry Osborne Havemeyer,"industrialist , entrepreneur",american,1847,1847,64,"Henry O. Havemeyer was a american industrialist , entrepreneur. When was Henry O. Havemeyer born."
440,Robert C. Cutler,Robert Cutler,"attorney , writer",american,1895,1895,39,"Robert C. Cutler was a american attorney , writer. When was Robert C. Cutler born."
441,Max Kidruk,Max Kidruk,writer,ukrainian,1984,1984,30,Max Kidruk was a ukrainian writer. When was Max Kidruk born.
442,Kunio Busujima,Kunio Busujima,"chairman and founder , sankyo",japanese,1925,1925,1,"Kunio Busujima was a japanese chairman and founder , sankyo. When was Kunio Busujima born."
443,Gloria Rasgado Corsi,Gloria Rasgado Corsi,politician,mexican,1955,1955,1,Gloria Rasgado Corsi was a mexican politician. When was Gloria Rasgado Corsi born.
444,May Chidiac,May Chidiac,former tv moderator,lebanon lebanese,1963,1963,32,May Chidiac was a lebanon lebanese former tv moderator. When was May Chidiac born.
445,Tony Mendoza,Tony Mendoza (politician),teacher,american,1971,1971,7,Tony Mendoza was a american teacher. When was Tony Mendoza born.
446,Henry Conway,Henry Conway (socialite),journalist and party promoter,english,1983,1983,26,Henry Conway was a english journalist and party promoter. When was Henry Conway born.
447,John Paterson,John Paterson (missionary),minister and missionary,british,1776,1776,6,John Paterson was a british minister and missionary. When was John Paterson born.
448,Angus Innes,Angus Innes,barrister,australian,1939,1939,6,Angus Innes was a australian barrister. When was Angus Innes born.
449,Lawrence Paros,Lawrence Paros,"writer , educator , filmmaker",american,1934,1934,12,"Lawrence Paros was a american writer , educator , filmmaker. When was Lawrence Paros born."
450,Pramoedya Ananta Toer,Pramoedya Ananta Toer,"novelist , essayist",indonesian,1925,1925,7,"Pramoedya Ananta Toer was a indonesian novelist , essayist. When was Pramoedya Ananta Toer born."
451,Sian Williams,Sian Williams,"journalist , presenter",welsh,1964,1964,46,"Sian Williams was a welsh journalist , presenter. When was Sian Williams born."
452,William Rosenberg,William Rosenberg,entrepreneur,united states,1916,1916,21,William Rosenberg was a united states entrepreneur. When was William Rosenberg born.
453,Ian Galliguez,Ian Galliguez,actress,filipino,1975,1975,11,Ian Galliguez was a filipino actress. When was Ian Galliguez born.
454,Marek Żukow-Karczewski,Marek Żukow-Karczewski,historian and journalist,polish,1961,1961,8,Marek Żukow-Karczewski was a polish historian and journalist. When was Marek Żukow-Karczewski born.
455,Emma Wray,Emma Wray,actress,british,1965,1965,2,Emma Wray was a british actress. When was Emma Wray born.
456,Horace Gundry Alexander,Horace Alexander,pacifist ornithologist,british,1889,1889,23,Horace Gundry Alexander was a british pacifist ornithologist. When was Horace Gundry Alexander born.
457,Denis Scheck,Denis Scheck,"journalist , literary critic",german,1964,1964,4,"Denis Scheck was a german journalist , literary critic. When was Denis Scheck born."
458,Jon Kay,Jon Kay,television presenter,british,1970,1969,4,Jon Kay was a british television presenter. When was Jon Kay born.
459,Herman Brusselmans,Herman Brusselmans,"novelist , poet , playwright , columnist",belgian,1957,1957,3,"Herman Brusselmans was a belgian novelist , poet , playwright , columnist. When was Herman Brusselmans born."
460,Kentaro Miura,Kentaro Miura,manga artist,japanese,1966,1966,66,Kentaro Miura was a japanese manga artist. When was Kentaro Miura born.
461,Anita Pollitzer,Anita Pollitzer,activist,american,1894,1894,19,Anita Pollitzer was a american activist. When was Anita Pollitzer born.
462,Richard Phillips,Richard Phillips (merchant Mariner),"merchant mariner , author",american,1955,1955,44,"Richard Phillips was a american merchant mariner , author. When was Richard Phillips born."
463,Robert B. Hawley,Robert B. Hawley,merchant,american,1849,1849,17,Robert B. Hawley was a american merchant. When was Robert B. Hawley born.
464,Chiho Saito,Chiho Saito,manga artist,japanese,1967,1967,1,Chiho Saito was a japanese manga artist. When was Chiho Saito born.
465,Gérard Bruchési,Gérard Bruchési,insurance broker,canadian,1931,1931,1,Gérard Bruchési was a canadian insurance broker. When was Gérard Bruchési born.
466,Erika Thijs,Erika Thijs,politician,belgian,1960,1960,0,Erika Thijs was a belgian politician. When was Erika Thijs born.
467,Neel Mukherjee,Neel Mukherjee (writer),novelist,indian,1970,1970,6,Neel Mukherjee was a indian novelist. When was Neel Mukherjee born.
468,Friedrich Sorge,Friedrich Sorge,labor leader,"german , american",1828,1828,20,"Friedrich Sorge was a german , american labor leader. When was Friedrich Sorge born."
469,Erkki Nghimtina,Erkki Nghimtina,politician,namibian,1948,1947,13,Erkki Nghimtina was a namibian politician. When was Erkki Nghimtina born.
470,Francesco Giacobbe,Francesco Giacobbe,politician,italian,1958,1958,1,Francesco Giacobbe was a italian politician. When was Francesco Giacobbe born.
471,Tim Gunn,Tim Gunn,"fashion at liz claiborne , inc. . consultant , television personality , chief creative officer",american,1953,1953,28,"Tim Gunn was a american fashion at liz claiborne , inc. . consultant , television personality , chief creative officer. When was Tim Gunn born."
472,Ali Jacko,Ali Jacko,"kickboxer , kickboxing promotor , television producer , publisher",eng english,1969,1969,43,"Ali Jacko was a eng english kickboxer , kickboxing promotor , television producer , publisher. When was Ali Jacko born."
473,Leo Jogiches,Leo Jogiches,politician,russian,1867,1867,78,Leo Jogiches was a russian politician. When was Leo Jogiches born.
474,Xu Mengjia Zh-Hans-Cn 徐孟加,Xu Mengjia,politician,chinese,1957,1957,4,Xu Mengjia Zh-Hans-Cn 徐孟加 was a chinese politician. When was Xu Mengjia Zh-Hans-Cn 徐孟加 born.
475,Arturo Escobar,Arturo Escobar (anthropologist),anthropologist,"colombian , american",1952,1951,14,"Arturo Escobar was a colombian , american anthropologist. When was Arturo Escobar born."
476,James Matthews,James Matthews (writer),poet,south african,1929,1929,18,James Matthews was a south african poet. When was James Matthews born.
477,کامبوزیا پرتوی Kambuzia Partovi,Kambuzia Partovi,"film director , screenwriter , actor",iranian,1955,1955,1,"کامبوزیا پرتوی Kambuzia Partovi was a iranian film director , screenwriter , actor. When was کامبوزیا پرتوی Kambuzia Partovi born."
478,Lia Olguța Vasilescu,Lia Olguța Vasilescu,journalist,romanian,1974,1974,28,Lia Olguța Vasilescu was a romanian journalist. When was Lia Olguța Vasilescu born.
479,Zhaleh Olov,Zhaleh Olov,actress,iranian,1927,1927,1,Zhaleh Olov was a iranian actress. When was Zhaleh Olov born.
480,Luis Leante,Luis Leante,"latin professor , novelist",spanish,1963,1963,3,"Luis Leante was a spanish latin professor , novelist. When was Luis Leante born."
481,Valentyn Sadovsky Валентин Васильович Садовський,Valentyn Sadovsky,"geographer , economist , politician",ukrainian,1886,1886,0,"Valentyn Sadovsky Валентин Васильович Садовський was a ukrainian geographer , economist , politician. When was Valentyn Sadovsky Валентин Васильович Садовський born."
482,Ian Payne,Ian Payne (newsreader),presenter,british,1968,1968,6,Ian Payne was a british presenter. When was Ian Payne born.
483,Walter Extra,Walter Extra,aircraft designer and manufacturer,german,1954,1954,4,Walter Extra was a german aircraft designer and manufacturer. When was Walter Extra born.
484,Alexander Belyaev,Alexander Belyaev,"lawyer , novelist",russian -lrb- ussr -rrb-,1884,1884,8,"Alexander Belyaev was a russian -lrb- ussr -rrb- lawyer , novelist. When was Alexander Belyaev born."
485,Wayne Roberts,Stay High 149,graffiti artist,american,1950,1950,9,Wayne Roberts was a american graffiti artist. When was Wayne Roberts born.
486,Krzysztof Boruń,Krzysztof Boruń,"writer , teacher of physics , journalist",polish,1923,1923,2,"Krzysztof Boruń was a polish writer , teacher of physics , journalist. When was Krzysztof Boruń born."
487,Steve Rider,Steve Rider,broadcaster,british,1950,1950,78,Steve Rider was a british broadcaster. When was Steve Rider born.
488,Warwick Fairfax,Warwick Fairfax,business consultant executive coach,australian,1960,1960,12,Warwick Fairfax was a australian business consultant executive coach. When was Warwick Fairfax born.
489,Leslie Meek,Leslie Meek,"lawyer , judge",american,1965,1965,11,"Leslie Meek was a american lawyer , judge. When was Leslie Meek born."
490,Tim Brabants,Tim Brabants,doctor,british,1977,1977,3,Tim Brabants was a british doctor. When was Tim Brabants born.
491,Kevin Gage,Kevin Gage (actor),actor,american,1959,1959,7,Kevin Gage was a american actor. When was Kevin Gage born.
492,Werner Alfred Waldemar Von Janowski,Werner von Janowski,spy,german,1903,1903,18,Werner Alfred Waldemar Von Janowski was a german spy. When was Werner Alfred Waldemar Von Janowski born.
493,Nguyễn Nhật Ánh,Nguyễn Nhật Ánh,writer,vietnam,1955,1955,0,Nguyễn Nhật Ánh was a vietnam writer. When was Nguyễn Nhật Ánh born.
494,Dorothy Thompson,Dorothy Thompson (businesswoman),"ceo , drax group",british,1960,1960,4,"Dorothy Thompson was a british ceo , drax group. When was Dorothy Thompson born."
495,"Harold Louis Humes , Jr. .",Harold L. Humes,novelist journalist editor-in-chief teacher,american,1926,1926,8,"Harold Louis Humes , Jr. . was a american novelist journalist editor-in-chief teacher. When was Harold Louis Humes , Jr. . born."
496,Michael Stürmer,Michael Stürmer,historian,german,1938,1938,84,Michael Stürmer was a german historian. When was Michael Stürmer born.
497,Norbert Schmelzer Norbert Schmelzer,Wim Aantjes,politician civil servant trade unionist,dutch,1923,1923,0,Norbert Schmelzer Norbert Schmelzer was a dutch politician civil servant trade unionist. When was Norbert Schmelzer Norbert Schmelzer born.
498,"Willem Drees , Jr. .","Willem Drees, Jr.",politician civil servant economist professor,dutch,1922,1922,0,"Willem Drees , Jr. . was a dutch politician civil servant economist professor. When was Willem Drees , Jr. . born."
499,Sergio Bruni,Sergio Bruni,singer actor guitarist songwriter,italian,1921,1921,3,Sergio Bruni was a italian singer actor guitarist songwriter. When was Sergio Bruni born.
500,L.A. Micheloni,L. A. Micheloni,businessman,uruguay,1878,1878,0,L.A. Micheloni was a uruguay businessman. When was L.A. Micheloni born.
501,Tarundeep Rai,Tarundeep Rai,archery,indian,1984,1984,23,Tarundeep Rai was a indian archery. When was Tarundeep Rai born.
502,Sir Peter Williams,Peter Williams (physicist),physicist,british,1945,1945,8,Sir Peter Williams was a british physicist. When was Sir Peter Williams born.
503,Geert Lambert,Geert Lambert,"politician , lawyer",belgian,1967,1967,2,"Geert Lambert was a belgian politician , lawyer. When was Geert Lambert born."
504,John Coates,John Coates (businessman),businessman,british,1970,1970,8,John Coates was a british businessman. When was John Coates born.
505,Carmella Decesare,Carmella Decesare,"model , professional wrestler",american,1982,1982,0,"Carmella Decesare was a american model , professional wrestler. When was Carmella Decesare born."
506,"Charles Fanshawe , 4Th Viscount Fanshawe","Charles Fanshawe, 4th Viscount Fanshawe",politician,british,1643,1643,12,"Charles Fanshawe , 4Th Viscount Fanshawe was a british politician. When was Charles Fanshawe , 4Th Viscount Fanshawe born."
507,Jason Villalba,Jason Villalba,attorney,american,1971,1971,25,Jason Villalba was a american attorney. When was Jason Villalba born.
508,Paul Tirard,Paul Tirard,chairman of the inter-allied rhineland high commission .,french,1879,1879,5,Paul Tirard was a french chairman of the inter-allied rhineland high commission .. When was Paul Tirard born.
509,Charles Gordon Mosley,Charles Mosley (genealogist),"editor , author , broadcaster , publisher",british,1948,1948,8,"Charles Gordon Mosley was a british editor , author , broadcaster , publisher. When was Charles Gordon Mosley born."
510,Devaughn Nixon,Devaughn Nixon,actor,american,1983,1983,0,Devaughn Nixon was a american actor. When was Devaughn Nixon born.
511,Glen Manchester,Glen Manchester,technology entrepreneur,english,1965,1965,12,Glen Manchester was a english technology entrepreneur. When was Glen Manchester born.
512,Ahmet Bozer,Ahmet Bozer,executive vice president and president of coca-cola international,turkish,1960,1960,12,Ahmet Bozer was a turkish executive vice president and president of coca-cola international. When was Ahmet Bozer born.
513,Puşi Dinulescu,Puși Dinulescu,"playwright novelist , poet and polemist , film , theatre and television director ,",20px romanian,1942,1942,1,"Puşi Dinulescu was a 20px romanian playwright novelist , poet and polemist , film , theatre and television director ,. When was Puşi Dinulescu born."
514,Isaac Musumba,Isaac Musumba,lawyer & politician,ugandan,1961,1961,19,Isaac Musumba was a ugandan lawyer & politician. When was Isaac Musumba born.
515,Janny Wurts,Janny Wurts,"author , illustrator",american,1953,1953,16,"Janny Wurts was a american author , illustrator. When was Janny Wurts born."
516,Phill Lewis,Phill Lewis,"actor , comedian , television director",american,1968,1968,15,"Phill Lewis was a american actor , comedian , television director. When was Phill Lewis born."
517,Ulka Gupta,Ulka Gupta,actress,indian,1997,1997,13,Ulka Gupta was a indian actress. When was Ulka Gupta born.
518,Rodolfo Emilio Giuseppe Pichi-Sermolli,Rodolfo Emilio Giuseppe Pichi-Sermolli,botany,italian,1912,1912,2,Rodolfo Emilio Giuseppe Pichi-Sermolli was a italian botany. When was Rodolfo Emilio Giuseppe Pichi-Sermolli born.
519,Gus Levy,Gus Levy,investment banker,united states,1910,1910,3,Gus Levy was a united states investment banker. When was Gus Levy born.
520,György Gyula Zagyva,György Gyula Zagyva,politician,hungarian,1976,1976,0,György Gyula Zagyva was a hungarian politician. When was György Gyula Zagyva born.
521,Maxime Nocher,Maxime Nocher,professional kite surfer,french and monaco,1994,1994,2,Maxime Nocher was a french and monaco professional kite surfer. When was Maxime Nocher born.
522,Gene Tierney,Gene Tierney,actress,american,1920,1920,76,Gene Tierney was a american actress. When was Gene Tierney born.
523,Peter George,Peter George (professor),academic administration,canadian,1941,1941,11,Peter George was a canadian academic administration. When was Peter George born.
524,Marci Bowers,Marci Bowers,surgeon,american,1958,1958,39,Marci Bowers was a american surgeon. When was Marci Bowers born.
525,The Lord Chilver,"Henry Chilver, Baron Chilver",engineer,british,1926,1926,29,The Lord Chilver was a british engineer. When was The Lord Chilver born.
526,Catherine Namugala,Catherine Namugala,politician,zambian,1966,1966,7,Catherine Namugala was a zambian politician. When was Catherine Namugala born.
527,Lizette Carrión,Lizette Carrión,actress,american,1972,1972,0,Lizette Carrión was a american actress. When was Lizette Carrión born.
528,Emmanuel Goffi,Emmanuel Goffi,french air force officer,france,1971,1971,19,Emmanuel Goffi was a france french air force officer. When was Emmanuel Goffi born.
529,Peter I. Chang,Peter I. Chang,"artist , illustrator and filmmaker",taiwanese,1973,1973,14,"Peter I. Chang was a taiwanese artist , illustrator and filmmaker. When was Peter I. Chang born."
530,Carlos Tramontina,Carlos Tramontina,journalist and anchor,brazilian,1956,1956,10,Carlos Tramontina was a brazilian journalist and anchor. When was Carlos Tramontina born.
531,Alan Derek Piggott,Derek Piggott,retired flying instructor and author,english,1922,1922,9,Alan Derek Piggott was a english retired flying instructor and author. When was Alan Derek Piggott born.
532,Mariam Najjemba,Mariam Najjemba,administrator & politician,ugandan,1972,1972,10,Mariam Najjemba was a ugandan administrator & politician. When was Mariam Najjemba born.
533,Kārlis Irbītis,Kārlis Irbītis,airplane designer,latvian,1904,1904,1,Kārlis Irbītis was a latvian airplane designer. When was Kārlis Irbītis born.
534,Nicholas Longworth,Nicholas Longworth (winemaker),"lawyer , banker , real estate speculator , winemaker",american,1783,1783,12,"Nicholas Longworth was a american lawyer , banker , real estate speculator , winemaker. When was Nicholas Longworth born."
